Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_op;crit_1_tech;crit_2_op;crit_2_tech;crit_3_tech;crit_3_op;lca_tech;lca_op;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];[Einv];[Einv];[CC_REF];[CC_REF];[landuse];[landuse];[CC_ANNE];[CC_ANNE];
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_FUEL;542;10;881.57;20;1;0;1;0;1.00E+15;1;1;0.5;146.9286938;293.8573876;1;881.5721629;0.031100973;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_HVC;705;15.9;949.7;20;1;0;1;0;1.00E+15;1;1;0.5;140.7552191;281.5104382;1;844.5313145;0.255902152;
Storage;Other storage;Ammonia storage;AMMONIA_STORAGE;0.01;0.000397;0;20;1;0;1;0;1.00E+15;1;1;0.5;11.7777733;23.55554659;1;70.66663978;0;
Synthetic fuels;Synthetic fuels;Amonia to H2;AMMONIA_TO_H2;681.24;62.8658412;0;25;0.86;0;1;0;1.00E+15;1;1;0.5;75.4398628;150.8797256;1;452.6391769;0;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric;ATM_CCS;5160;128.088;0;40;1;0;1;0;1.00E+15;1;1;0.5;179.1236674;358.2473347;1;1074.742004;-0.973832548;
Storage;Electricity storage;Batteries;BATT_LI;302;0.466898841;61.3;15;1;0;1;0;1.00E+15;1;1;0.5;13.48726809;26.97453617;1;80.92360851;0;
Storage;Electricity storage;Batteries of electric cars;BEV_BATT;0;0;0;1;1;0;1;0;1.00E+15;1;1;0.5;0;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biomass hydrolysis;BIO_HYDROLYSIS;1591.91;108.53745;0;15;0.85;0;1;0;1.00E+15;1;1;0.5;15.08566489;30.17132977;1;90.51398932;0.615299263;
Synthetic fuels;Synthetic fuels;Biomass methanolation;BIOMASS_TO_METHANOL;2520;38.5;0;20;1;0;1;0;1.00E+15;1;1;0.5;337.0717107;674.1434213;1;2022.430264;0.616348288;
Synthetic fuels;Synthetic fuels;Biomass methanation;BIOMETHANATION;986.05;13.65909091;0;20;0.85;0;1;0;1.00E+15;1;1;0.5;310.6430664;621.2861327;1;1863.858398;0.842709233;
Mobility;Freight;Boat diesel;BOAT_FREIGHT_DIESEL;76.39;3.819444444;0;40;0.11416;0;1;0;1.00E+15;1;1;0.5;5.19099596;10.38199192;1;31.14597577;0.029364571;
Mobility;Freight;Boat methanol;BOAT_FREIGHT_METHANOL;76.39;3.819444444;0;40;0.11416;0;1;0;1.00E+15;1;1;0.5;5.19099596;10.38199192;1;31.14597577;0.033740681;
Mobility;Freight;Boat gas;BOAT_FREIGHT_NG;76.39;3.819444444;0;40;0.11416;0;1;0;1.00E+15;1;1;0.5;5.19099596;10.38199192;1;31.14597577;0.033241763;
Mobility;Passenger public;Bus gas;BUS_COACH_CNG_STOICH;611.11;30.55555556;0;15;0.2968;0;1;0;1.00E+15;1;1;0.5;30.32058115;60.6411623;1;181.9234869;0.073667364;
Mobility;Passenger public;Bus diesel;BUS_COACH_DIESEL;611.11;30.55555556;0;15;0.2968;0;1;0;1.00E+15;1;1;0.5;29.83737125;59.6747425;1;179.0242275;0.074050669;
Mobility;Passenger public;Bus electric;BUS_COACH_ELECTRIC;714.57;31.25;0;15;0.2968;0;1;0;1.00E+15;1;1;0.5;43.36390567;86.72781133;1;260.183434;0.003015796;
Mobility;Passenger public;Bus fuel cell (H2);BUS_COACH_FC_HYBRIDH2;808.39;31.25;0;15;0.2968;0;1;0;1.00E+15;1;1;0.5;43.36390567;86.72781133;1;260.183434;0.003015796;
Mobility;Passenger public;Bus diesel hybrid;BUS_COACH_HYDIESEL;833.33;33.33333333;0;15;0.2968;0;1;0;1.00E+15;1;1;0.5;30.26167345;60.5233469;1;181.5700407;0.05591069;
Mobility;Passenger private;Car electric;CAR_BEV;433.83;10;0;10;0.05137;0;1;0;1.00E+15;1;1;0.5;40.49219382;80.98438763;1;242.9531629;0.008574255;
Mobility;Passenger private;Car diesel;CAR_DIESEL;434.45;24;0;10;0.05137;0;1;0;1.00E+15;1;1;0.5;27.34898305;54.6979661;1;164.0938983;0.125683947;
Mobility;Passenger private;Car fuel cell (H2);CAR_FUEL_CELL;672.41;10;0;10;0.05137;0;1;0;1.00E+15;1;1;0.5;72.3911241;144.7822482;1;434.3467446;0.008171451;
Mobility;Passenger private;Car gasoline;CAR_GASOLINE;420.29;24;0;10;0.05137;0;1;50;1.00E+15;1;1;0.5;26.90641647;53.81283293;1;161.4384988;0.141528934;
Mobility;Passenger private;Car hybrid (gasoline);CAR_HEV;429.41;34;0;10;0.05137;0;1;0;1.00E+15;1;1;0.5;28.42896357;56.85792713;1;170.5737814;0.099117292;
Mobility;Passenger private;Car methanol;CAR_METHANOL;420.29;24;0;10;0.05137;0;1;0;1.00E+15;1;1;0.5;26.90641647;53.81283293;1;161.4384988;0.131506423;
Mobility;Passenger private;Car gas;CAR_NG;429.38;24;0;10;0.05137;0;1;0;1.00E+15;1;1;0.5;27.64073825;55.2814765;1;165.8444295;0.09773069;
Mobility;Passenger private;Car plug-in hybrid;CAR_PHEV;456.37;34;0;10;0.05137;0;1;0;1.00E+15;1;1;0.5;32.62452722;65.24905443;1;195.7471633;0.038558588;
Electricity;Electricity;Combined cycle gas turbine;CCGT;771.99;19.55202588;183.79;25;0.96154;0;1;0;1.00E+15;1;1;0.5;21.25899649;42.51799297;1;127.5539789;0.36448858;
Electricity;Electricity;Amonia combined cycle gas turbine;CCGT_AMMONIA;771.99;19.55202588;183.79;25;0.63;0;1;0;1.00E+15;1;1;0.5;26.78633637;53.57267273;1;160.7180182;0.003282859;
Storage;Other storage;CO2 storage;CO2_STORAGE;49.5;0.495;0;30;1;0;1;0;1.00E+15;1;1;0.5;2.382349172;4.764698343;1;14.29409503;0;
Electricity;Electricity;Intagrated gasification combined cycle with coal;COAL_IGCC;3245.81;48.42022379;331.6;35;0.856;0;1;0;0;1;1;0.5;46.91627792;93.83255583;1;281.4976675;0.591721808;
Electricity;Electricity;Ultra-supercritical coal power plant;COAL_US;2516.71;29.38376695;331.6;35;0.868;0;1;0;0;1;1;0.5;35.89638385;71.7927677;1;215.3783031;0.652153373;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_GAS;7242.28;134.9692259;2193.45;20;1;0;1;0;1.00E+15;1;1;0.5;187.933626;375.867252;1;1127.601756;0.931094013;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_H2;7242.28;134.9692259;2193.45;20;1;0;1;0;1.00E+15;1;1;0.5;187.933626;375.867252;1;1127.601756;0.005493836;
