Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_constr;crit_2_constr;crit_3_constr;lca_tech;lca_op;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];[Einv];[CC_REF];[landuse];[CC_ANNE];[CC_ANNE];
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_FUEL;765;11.56;881.57;20;1;0;1;0;1.00E+15;8647.463175;0;0;1058.042369;0.032280472;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_HVC;994.5;15.028;949.7;20;1;0;1;0;1.00E+15;8284.124386;0;0;1013.586806;0.257529209;
Storage;Other storage;Ammonia storage;AMMONIA_STORAGE;0.01;0.000397;0;20;1;0;1;0;1.00E+15;0.00659;0;1;75.87152912;0;
Synthetic fuels;Synthetic fuels;Amonia to H2;AMMONIA_TO_H2;698.25;64.43487218;0;25;0.86;0;1;0;1.00E+15;4440;0;1;543.2469935;0;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric;ATM_CCS;5220.91;129.6;0;40;1;0;1;0;1.00E+15;5610;0;1;1163.430901;-0.9724777;
Storage;Electricity storage;Batteries;BATT_LI;350.45;0.5418;61.3;15;1;0;1;0;1.00E+15;274;0;1;89.94743694;0;
Storage;Electricity storage;Batteries of electric cars;BEV_BATT;0;0;0;1;1;0;1;0;1.00E+15;5610;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biomass hydrolysis;BIO_HYDROLYSIS;1631.64;111.2463714;0;15;0.85;0;1;0;1.00E+15;547;0;1;98.06703772;0.615730995;
Synthetic fuels;Synthetic fuels;Biomass methanolation;BIOMASS_TO_METHANOL;2772;42.35;0;20;1;0;1;0;1.00E+15;547;0;1;2427.27368;0.633817134;
Synthetic fuels;Synthetic fuels;Biomass methanation;BIOMETHANATION;1010.66;14;0;20;0.85;0;1;0;1.00E+15;5610;0;1;2017.07323;0.843502413;
Mobility;Freight;Boat diesel;BOAT_FREIGHT_DIESEL;75.75;3.819444444;0;40;0.11416;0;1;0;1.00E+15;109;0;1;34.06822416;0.030256187;
Mobility;Freight;Boat methanol;BOAT_FREIGHT_METHANOL;75.75;3.819444444;0;40;0.11416;0;1;0;1.00E+15;109;0;1;34.06822416;0.034765544;
Mobility;Freight;Boat gas;BOAT_FREIGHT_NG;75.85;3.819444444;0;40;0.11416;0;1;0;1.00E+15;109;1;1;34.06822416;0.034511512;
Mobility;Passenger public;Bus gas;BUS_COACH_CNG_STOICH;606.83;30.55555556;0;15;0.2968;0;1;0;1.00E+15;380;1;1;198.6361708;0.076275171;
Mobility;Passenger public;Bus diesel;BUS_COACH_DIESEL;605.98;30.55555556;0;15;0.2968;0;1;0;1.00E+15;380;1;1;195.4773043;0.076215396;
Mobility;Passenger public;Bus electric;BUS_COACH_ELECTRIC;1211.96;31.25;0;15;0.2968;0;1;0;1.00E+15;405.7452575;1;1;306.6420256;0.003017603;
Mobility;Passenger public;Bus fuel cell (H2);BUS_COACH_FC_HYBRIDH2;1048.92;31.25;0;15;0.2968;0;1;0;1.00E+15;505;1;1;306.6420256;0.003017603;
Mobility;Passenger public;Bus diesel hybrid;BUS_COACH_HYDIESEL;829.15;33.33333333;0;15;0.2968;0;1;0;1.00E+15;470;1;1;199.3015593;0.058324933;
Mobility;Passenger private;Car electric;CAR_BEV;445.47;10;0;10;0.05137;0;1;0;1.00E+15;788;1;1;281.4230568;0.009286744;
Mobility;Passenger private;Car diesel;CAR_DIESEL;430.81;24;0;10;0.05137;0;1;0;1.00E+15;738;1;1;185.6695853;0.129986516;
Mobility;Passenger private;Car fuel cell (H2);CAR_FUEL_CELL;739.14;10;0;10;0.05137;0;1;0;1.00E+15;1020;1;1;521.3423341;1032.759606;
Mobility;Passenger private;Car gasoline;CAR_GASOLINE;416.76;24;0;10;0.05137;0.25;1;0;1.00E+15;677;1;1;182.6473125;0.147163388;
Mobility;Passenger private;Car hybrid (gasoline);CAR_HEV;427.25;34;0;10;0.05137;0;1;0;1.00E+15;857;1;1;196.0624949;0.104053214;
Mobility;Passenger private;Car methanol;CAR_METHANOL;416.76;24;0;10;0.05137;0;1;0;1.00E+15;677;1;1;182.6473125;0.136771518;
Mobility;Passenger private;Car gas;CAR_NG;426.37;24;0;10;0.05137;0;1;0;1.00E+15;677;1;1;188.2503663;0.09844511;
Mobility;Passenger private;Car plug-in hybrid;CAR_PHEV;459.26;34;0;10;0.05137;0;1;0;1.00E+15;868;1;1;226.7347547;0.040726865;
Electricity;Electricity;Combined cycle gas turbine;CCGT;779.03;19.73031183;183.79;25;0.96154;0;1;0;1.00E+15;615;1;1;136.7389073;0.364512646;
Electricity;Electricity;Amonia combined cycle gas turbine;CCGT_AMMONIA;779.03;19.73031183;183.79;25;0.63;0;1;0;1.00E+15;615;1;1;172.2910285;0.003312236;
Storage;Other storage;CO2 storage;CO2_STORAGE;49.5;0.495;0;30;1;0;1;0;1.00E+15;0.0659;1;1;15.34691405;0;
Electricity;Electricity;Intagrated gasification combined cycle with coal;COAL_IGCC;3281.09;48.94653057;331.6;35;0.856;0;1;0;0;914;1;1;305.6637699;0.591746046;
Electricity;Electricity;Ultra-supercritical coal power plant;COAL_US;2544.06;29.70315573;331.6;35;0.868;0;1;0;0;914;1;1;241.0755897;0.652180087;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_GAS;7772.2;144.8450229;2193.45;20;1;0;1;0;1.00E+15;4410;1;1;1307.75077;0.931612363;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_H2;7772.2;144.8450229;2193.45;20;1;0;1;0;1.00E+15;4410;1;1;1307.75077;0.006012187;
Heat;Heat low temperature decentralised;Bioler gas (decentralised);DEC_BOILER_GAS;158.54;4.756999719;21.09;17;1;0;1;0;1.00E+15;162;1;1;34.72522517;0.207852956;
Heat;Heat low temperature decentralised;Boiler oil (decentralised);DEC_BOILER_OIL;142.38;8.54012548;21.09;17;1;0;1;0;1.00E+15;147;1;1;34.72522517;0.287243009;
Heat;Heat low temperature decentralised;Boiler wood (decentralised);DEC_BOILER_WOOD;462.44;16.18129038;21.09;17;1;0;1;0;1.00E+15;237;1;1;249.5838168;0.441916983;
Heat;Heat low temperature decentralised;Cogeneration gas (decentralised);DEC_COGEN_GAS;1440.78;92.61166776;1024.32;20;1;0;1;0;1.00E+15;1400;1;1;584.441283;0.396914507;
Heat;Heat low temperature decentralised;Cogeneration oil (decentralised);DEC_COGEN_OIL;1335.92;81.96460343;1024.32;20;1;0;1;0;1.00E+15;1400;1;1;584.441283;0.600124773;
Heat;Heat low temperature decentralised;Direct electrical heaters (decentralised);DEC_DIRECT_ELEC;40.7;0.177919281;1.47;15;1;0;1;0;1.00E+15;5.59;1;1;1.161338963;0;
Heat;Heat low temperature decentralised;Electrical heat pump (decentralised);DEC_HP_ELEC;504.88;21.05066017;164.89;18;1;0;1;0;1.00E+15;212;1;1;129.1635933;0.017646534;
Heat;Heat low temperature decentralised;Solar thermal (decentralised);DEC_SOLAR;729.2;8.090645191;221.22;20;1;0;1;0;1.00E+15;1950;1;1;1934.068632;0;
