Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_tech;crit_2_tech;crit_3_tech;crit_1_op;crit_2_op;crit_3_op;lca_tech;lca_op;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];[ACI];[LU];[WD];[ACI];[LU];[WD];[CC];[CC];
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_FUEL;701;12.8;881.57;20;1;0;1;0;1.00E+15;16.58041157;30108.14915;664.784586;0.000112472;0.096439649;0.011752288;881.5721629;0;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_HVC;911;19.8;949.7;20;1;0;1;0;1.00E+15;15.8837556;28843.10082;636.8524596;0.000155149;0.133033412;0.016211662;844.5313145;0.46846567;
Storage;Other storage;Ammonia storage;AMMONIA_STORAGE;0.01;0.000397;0;20;1;0;1;0;1.00E+15;0.524856519;266.9827863;38.19816972;0;0;0;70.66663978;;
Synthetic fuels;Synthetic fuels;Amonia to H2;AMMONIA_TO_H2;681.24;62.8658412;0;25;0.86;0;1;0;1.00E+15;8.513136149;15458.89086;341.3305915;0;0;0;452.6391769;0;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric;ATM_CCS;5160;128.088;0;40;1;0;1;0;1.00E+15;4.622530427;13380.47127;493.5419583;3.68E-05;0.10659921;0.004620657;1074.742004;-0.973832548;
Storage;Electricity storage;Batteries;BATT_LI;302;0.466898841;61.3;15;1;0;1;0;1.00E+15;1.355678165;948.5681202;336.0505283;0;0;0;80.92360851;;
Storage;Electricity storage;Batteries of electric cars;BEV_BATT;0;0;0;1;1;0;1;0;1.00E+15;0;0;0;0;0;0;0;;
Synthetic fuels;Synthetic fuels;Biomass hydrolysis;BIO_HYDROLYSIS;1591.91;108.53745;0;15;0.85;0;1;0;1.00E+15;0.814615932;10616.52659;34.02068557;0.000336302;0.74404938;0.042027756;90.51398932;0.615299263;
Synthetic fuels;Synthetic fuels;Biomass methanolation;BIOMASS_TO_METHANOL;2520;38.5;0;20;1;0;1;0;1.00E+15;38.03741494;69071.63656;1525.094056;0.000364043;0.744439326;0.061824985;2022.430264;0.616348288;
Synthetic fuels;Synthetic fuels;Biomass methanation;BIOMETHANATION;986.05;13.65909091;0;20;0.85;0;1;0;1.00E+15;11.4055975;60940.68106;809.6418706;9.25E-05;0.212218836;0.009166223;1863.858398;0.842709233;
Mobility;Freight;Boat diesel;BOAT_FREIGHT_DIESEL;76.39;3.819444444;0;40;0.11416;0;1;0;1.00E+15;0.242087181;330.6716912;15.57811876;0.00034208;0.000184214;6.83E-06;31.14597577;0.029364571;
