Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_tech;crit_2_tech;crit_3_tech;crit_1_op;crit_2_op;crit_3_op;lca_tech;lca_op;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];[ACI];[LU];[WD];[ACI];[LU];[WD];[CC];[CC];
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_FUEL;666;12.2;881.57;20;1;0;1;0;1.00E+15;16.1008415;30727.32816;569.6704182;0.000107197;0.100035364;0.010925337;678.7783657;0.02933063;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_HVC;865;18.9;949.7;20;1;0;1;0;1.00E+15;15.42433553;29436.26391;545.7346856;0.000147873;0.137993511;0.015070927;650.2582654;0.253460057;
Storage;Other storage;Ammonia storage;AMMONIA_STORAGE;0.01;0.0004;0;20;1;0;1;0;1.00E+15;0.514595739;273.6854464;34.71885854;0;0;0;66.49162005;0;
Synthetic fuels;Synthetic fuels;Amonia to H2;AMMONIA_TO_H2;630.24;58.1587;0;25;0.86;0;1;0;1.00E+15;8.266903096;15776.80548;292.4946591;0;0;0;348.5156334;0;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric;ATM_CCS;4977.27;123.552;0;40;1;0;1;0;1.00E+15;4.283288565;13049.20522;401.9616581;3.36306E-05;0.109436466;0.003759792;863.1709629;-0.975376733;
Storage;Electricity storage;Batteries;BATT_LI;156.66;0.2422;61.3;15;1;0;1;0;1.00E+15;1.324404258;1010.268932;330.5856398;0;0;0;68.77326878;0;
Storage;Electricity storage;Batteries of electric cars;BEV_BATT;0;0;0;1;1;0;1;0;1.00E+15;0;0;0;0;0;0;0;0;
Synthetic fuels;Synthetic fuels;Biomass hydrolysis;BIO_HYDROLYSIS;1472.71;100.411;0;15;0.85;0;1;0;1.00E+15;0.79026043;10910.47419;31.18265182;0.000334459;0.744656825;0.041541953;67.9352623;0.61418745;
Synthetic fuels;Synthetic fuels;Biomass methanolation;BIOMASS_TO_METHANOL;1764;26.95;0;20;1;0;1;0;1.00E+15;36.93722476;70492.10607;1306.890965;0.000337175;0.689631065;0.058226547;1557.197434;0.569380184;
Synthetic fuels;Synthetic fuels;Biomass methanation;BIOMETHANATION;912.22;12.6364;0;20;0.85;0;1;0;1.00E+15;10.85823496;60855.30127;651.5702864;8.92861E-05;0.509315395;0.010414961;1437.444828;0.831690481;
Mobility;Freight;Boat diesel;BOAT_FREIGHT_DIESEL;79;3.81944;0;40;0.11416;0;1;0;1.00E+15;0.234703396;343.4501687;14.23565129;0.000314242;0.000191867;6.32883E-06;26.3381373;0.026980401;
Mobility;Freight;Boat methanol;BOAT_FREIGHT_METHANOL;79;3.81944;0;40;0.11416;0;1;0;1.00E+15;0.234703396;343.4501687;14.23565129;0.000361197;0.000191867;6.32883E-06;26.3381373;0.031000171;
Mobility;Freight;Boat gas;BOAT_FREIGHT_NG;78.5;3.81944;0;40;0.11416;0;1;0;1.00E+15;0.234703396;343.4501687;14.23565129;2.3335E-05;0.000191867;6.32883E-06;26.3381373;0.029938306;
Mobility;Passenger public;Bus gas;BUS_COACH_CNG_STOICH;627.96;30.5556;0;15;0.2968;0;1;0;1.00E+15;1.695529187;4276.459819;184.4207299;7.56861E-05;9.25526E-05;1.62637E-05;164.0515377;0.066852731;
Mobility;Passenger public;Bus diesel;BUS_COACH_DIESEL;631.97;30.5556;0;15;0.2968;0;1;0;1.00E+15;1.676103116;4178.741329;182.9302786;3.17948E-05;9.25526E-05;1.62637E-05;159.5423972;0.068264597;
Mobility;Passenger public;Bus electric;BUS_COACH_ELECTRIC;707.62;31.25;0;15;0.2968;0;1;0;1.00E+15;4.006842857;4749.8585;215.646554;3.10064E-07;9.25526E-05;1.62637E-05;190.4819433;0.003013993;
Mobility;Passenger public;Bus fuel cell (H2);BUS_COACH_FC_HYBRIDH2;788.746;31.25;0;15;0.2968;0;1;0;1.00E+15;4.006842857;4749.8585;215.646554;3.08423E-07;9.25526E-05;1.62637E-05;190.4819433;0.003013993;
Mobility;Passenger public;Bus diesel hybrid;BUS_COACH_HYDIESEL;861.1;33.3333;0;15;0.2968;0;1;0;1.00E+15;1.72288;4213.94345;186.1839778;2.29236E-05;9.25526E-05;1.62637E-05;161.0865232;0.049788192;
