Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_tech;crit_2_tech;crit_3_tech;crit_1_op;crit_2_op;crit_3_op;lca_tech;lca_op;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];[CC_ANNE];[CC_ANNE];[CC_ANNE];[CC_ANNE];[CC_ANNE];[CC_ANNE];[CC_ANNE];[CC_ANNE];
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_FUEL;765;11.56;881.57;20;1;0;1;0;1.00E+15;0;0;0;0;0;0;1058.042369;0.032280472;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_HVC;994.5;15.028;949.7;20;1;0;1;0;1.00E+15;0;0;0;0;0;0;1013.586806;0.257529209;
Storage;Other storage;Ammonia storage;AMMONIA_STORAGE;0.01;0.000397;0;20;1;0;1;0;1.00E+15;0;0;0;0;0;0;75.87152912;0;
Synthetic fuels;Synthetic fuels;Amonia to H2;AMMONIA_TO_H2;698.25;64.43487218;0;25;0.86;0;1;0;1.00E+15;0;0;0;0;0;0;543.2469935;0;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric;ATM_CCS;5220.91;129.6;0;40;1;0;1;0;1.00E+15;0;0;0;0;0;0;1163.430901;-0.9724777;
Storage;Electricity storage;Batteries;BATT_LI;350.45;0.5418;61.3;15;1;0;1;0;1.00E+15;0;0;0;0;0;0;89.94743694;0;
Storage;Electricity storage;Batteries of electric cars;BEV_BATT;0;0;0;1;1;0;1;0;1.00E+15;0;0;0;0;0;0;0;0;
Synthetic fuels;Synthetic fuels;Biomass hydrolysis;BIO_HYDROLYSIS;1631.64;111.2463714;0;15;0.85;0;1;0;1.00E+15;0;0;0;0;0;0;98.06703772;0.615730995;
Synthetic fuels;Synthetic fuels;Biomass methanolation;BIOMASS_TO_METHANOL;2772;42.35;0;20;1;0;1;0;1.00E+15;0;0;0;0;0;0;2427.27368;0.633817134;
Synthetic fuels;Synthetic fuels;Biomass methanation;BIOMETHANATION;1010.66;14;0;20;0.85;0;1;0;1.00E+15;0;0;0;0;0;0;2017.07323;0.843502413;
Mobility;Freight;Boat diesel;BOAT_FREIGHT_DIESEL;75.75;3.819444444;0;40;0.11416;0;1;0;1.00E+15;0;0;0;0;0;0;34.06822416;0.030256187;
Mobility;Freight;Boat methanol;BOAT_FREIGHT_METHANOL;75.75;3.819444444;0;40;0.11416;0;1;0;1.00E+15;0;0;0;0;0;0;34.06822416;0.034765544;
Mobility;Freight;Boat gas;BOAT_FREIGHT_NG;75.85;3.819444444;0;40;0.11416;0;1;0;1.00E+15;0;0;0;0;0;0;34.06822416;0.034511512;
Mobility;Passenger public;Bus gas;BUS_COACH_CNG_STOICH;606.83;30.55555556;0;15;0.2968;0;1;0;1.00E+15;0;0;0;0;0;0;198.6361708;0.076275171;
Mobility;Passenger public;Bus diesel;BUS_COACH_DIESEL;605.98;30.55555556;0;15;0.2968;0;1;0;1.00E+15;0;0;0;0;0;0;195.4773043;0.076215396;
Mobility;Passenger public;Bus electric;BUS_COACH_ELECTRIC;1211.96;31.25;0;15;0.2968;0;1;0;1.00E+15;0;0;0;0;0;0;306.6420256;0.003017603;
Mobility;Passenger public;Bus fuel cell (H2);BUS_COACH_FC_HYBRIDH2;1048.92;31.25;0;15;0.2968;0;1;0;1.00E+15;0;0;0;0;0;0;306.6420256;0.003017603;
Mobility;Passenger public;Bus diesel hybrid;BUS_COACH_HYDIESEL;829.15;33.33333333;0;15;0.2968;0;1;0;1.00E+15;0;0;0;0;0;0;199.3015593;0.058324933;
Mobility;Passenger private;Car electric;CAR_BEV;445.47;10;0;10;0.05137;0;1;0;1.00E+15;0;0;0;0;0;0;281.4230568;0.009286744;
Mobility;Passenger private;Car diesel;CAR_DIESEL;430.81;24;0;10;0.05137;0;1;0;1.00E+15;0;0;0;0;0;0;185.6695853;0.129986516;
