TotalCost 38.8453281988105
LCA_tot 80.98062013891249
Crit_1_tot 325.7619443081834
Crit_2_tot 429515.589954323
Crit_3_tot 22304.73152101989

TotalCost 149.9999999999996
LCA_tot 1
Crit_1_tot 631.4856978253201
Crit_2_tot 1955672.883989376
Crit_3_tot 299997.3888565772

TotalCost 43.33350214686074
LCA_tot 36.43238060470765
Crit_1_tot 130.0000023328557
Crit_2_tot 335602.5904160282
Crit_3_tot 18011.72040430794

TotalCost 38.8453281988105
LCA_tot 80.98062013891249
Crit_1_tot 325.7619443081834
Crit_2_tot 429515.589954323
Crit_3_tot 22304.73152101989

