param layers_in_out:;ELECTRICITY;GASOLINE;DIESEL;LFO;GAS;WOOD;WET_BIOMASS;COAL;URANIUM;WASTE;H2;AMMONIA;METHANOL;HVC;HEAT_HIGH_T;HEAT_LOW_T_DHN;HEAT_LOW_T_DECEN;MOB_PUBLIC;MOB_PRIVATE;MOB_FREIGHT_RAIL;MOB_FREIGHT_ROAD;MOB_FREIGHT_BOAT;RES_WIND;RES_SOLAR;RES_HYDRO;RES_GEO;CO2_ATM;CO2_INDUSTRY;CO2_CAPTURED;:=
RES_WIND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
RES_SOLAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
RES_HYDRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
RES_GEO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
CO2_ATM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
CO2_INDUSTRY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
CO2_CAPTURED;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
NUCLEAR;1;0;0;0;0;0;0;0;-2.56423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
CCGT;1;0;0;0;-1.5619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.31746;0;
CCGT_AMMONIA;1;0;0;0;0;0;0;0;0;0;0;-1.968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
COAL_US;1;0;0;0;0;0;0;-2.01199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.734688;0;
COAL_IGCC;1;0;0;0;0;0;0;-1.82576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.666684;0;
PV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;
WIND_ONSHORE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;
WIND_OFFSHORE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;
HYDRO_RIVER;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;
GEOTHERMAL;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;
IND_COGEN_GAS;0.9565;0;0;0;-2.1739;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.43478;0;
IND_COGEN_WOOD;0.3396;0;0;0;0;-1.8868;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.735852;0;
IND_COGEN_WASTE;0.4444;0;0;0;0;0;0;0;0;-2.21779;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.577772;0;
IND_BOILER_GAS;0;0;0;0;-1.0785;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.2157;0;
IND_BOILER_WOOD;0;0;0;0;0;-1.1568;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.451152;0;
IND_BOILER_OIL;0;0;0;-1.052632;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.297986;0;
IND_BOILER_COAL;0;0;0;0;0;0;0;-1.2195;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.43902;0;
IND_BOILER_WASTE;0;0;0;0;0;0;0;0;0;-1.2195;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.31707;0;
IND_DIRECT_ELEC;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
DHN_HP_ELEC;-0.24068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
DHN_COGEN_GAS;1.25;0;0;0;-2.5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.5;0;
DHN_COGEN_WOOD;0.3396;0;0;0;0;-1.8868;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.735852;0;
DHN_COGEN_WASTE;0.4444;0;0;0;0;0;0;0;0;-2.21779;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.577772;0;
DHN_COGEN_WET_BIOMASS;0.826446;0;0;0;0;0;-6.36751;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2.48826446;0;
DHN_COGEN_BIO_HYDROLYSIS;0.758209;0;0;0;0;0;-2.97915;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1.1641791;0;
DHN_BOILER_GAS;0;0;0;0;-1.0785;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.2157;0;
DHN_BOILER_WOOD;0;0;0;0;0;-1.1568;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.451152;0;
DHN_BOILER_OIL;0;0;0;-1.052632;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.297986;0;
DHN_DEEP_GEO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-1;0;0;0;
DHN_SOLAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-1;0;0;0;0;0;
DEC_HP_ELEC;-0.32088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_THHP_GAS;0;0;0;0;-0.64185;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_COGEN_GAS;0.9565;0;0;0;-2.1739;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_COGEN_OIL;0.907;0;0;-2.3256;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_ADVCOGEN_GAS;2.6364;0;0;0;-4.5455;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_ADVCOGEN_H2;2.6364;0;0;0;0;0;0;0;0;0;-4.5455;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_BOILER_GAS;0;0;0;0;-1.1111;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_BOILER_WOOD;0;0;0;0;0;-1.1765;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_BOILER_OIL;0;0;0;-1.075269;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_SOLAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-1;0;0;0;0;0;
DEC_DIRECT_ELEC;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
TRAMWAY_TROLLEY;-0.05816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
BUS_COACH_DIESEL;0;0;-0.25069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
BUS_COACH_HYDIESEL;0;0;-0.18184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
BUS_COACH_CNG_STOICH;0;0;0;0;-0.25001;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
BUS_COACH_FC_HYBRIDH2;0;0;0;0;0;0;0;0;0;0;-0.20141;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
BUS_COACH_ELECTRIC;-0.160613808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
TRAIN_PUB;-0.0603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
CAR_GASOLINE;0;-0.4638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
CAR_DIESEL;0;0;-0.41044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
CAR_NG;0;0;0;0;-0.32174;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
CAR_METHANOL;0;0;0;0;0;0;0;0;0;0;0;0;-0.42902;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
CAR_HEV;0;-0.30932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
CAR_PHEV;-0.1272;-0.10048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
CAR_BEV;-0.13832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
CAR_FUEL_CELL;0;0;0;0;0;0;0;0;0;0;-0.19646;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
TRAIN_FREIGHT;-0.06355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
BOAT_FREIGHT_DIESEL;0;0;-0.10103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
BOAT_FREIGHT_NG;0;0;0;0;-0.11483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
BOAT_FREIGHT_METHANOL;0;0;0;0;0;0;0;0;0;0;0;0;-0.11614;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
TRUCK_DIESEL;0;0;-0.484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
TRUCK_METHANOL;0;0;0;0;0;0;0;0;0;0;0;0;-0.55637;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
TRUCK_FUEL_CELL;0;0;0;0;0;0;0;0;0;0;-0.39299;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
TRUCK_ELEC;-0.2317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
TRUCK_NG;0;0;0;0;-0.55081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
EFFICIENCY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
DHN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
GRID;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
H2_ELECTROLYSIS;-1.07595;0;0;0;0;0;0;0;0;0;1;0;0;0;-0.18987;0.018987;0;0;0;0;0;0;0;0;0;0;0;0;0;
SMR;0;0;0;0;-1.3646;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.27292;0;
H2_BIOMASS;0;0;0;0;0;-2.27304;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.901719;0;
GASIFICATION_SNG;0;0;0;0;1;-1.4596;0;0;0;0;0;0;0;0;0;0.338;0;0;0;0;0;0;0;0;0;0;0;0.400015;0;
SYN_METHANATION;0;0;0;0;1;0;0;0;0;0;-1.2;0;0;0;0;0.295;0;0;0;0;0;0;0;0;0;0;0;0;-0.2;
BIOMETHANATION;0;0;0;0;1;0;-3.3462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.105018;0;
BIO_HYDROLYSIS;0.094563;0;0;0;1;0;-2.36407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.72198582;0;
ATM_CCS;-0.406933;0.469061;1;0;0.218538;-3.685004;0;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0.27808;0;
INDUSTRY_CCS;-0.06257;0;0;0;0;-1.70154;0;0;0;0;-2.80959;0;-0.5074;1;-0.01722;0;0;0;0;0;0;0;0;0;0;0;0;0.212782;0;
SYN_METHANOLATION;-0.03;1;0;0.317992;0;-1.233494;0;0;0;0;-2.036753;0;-0.03678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010882;0;
METHANE_TO_METHANOL;-1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;
BIOMASS_TO_METHANOL;-0.233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0.9;
HABER_BOSCH;-0.03324;0;0;0;0;0;0;0;0;0;-1.218;0;1;0;0;0.083091;0;0;0;0;0;0;0;0;0;0;0;0;-0.2457033;
AMMONIA_TO_H2;0;0;0;0;-1.52905;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0601071;0;
OIL_TO_HVC;0.032258;0;0;0;0;-1.58566;0;0;0;0;0;0;1;0;0;0.35484;0;0;0;0;0;0;0;0;0;0;0;0.38332771;0;
GAS_TO_HVC;-0.12255;0;0;0;0;0;0;0;0;0;-1.13;1;0;0;0;0.134042;0;0;0;0;0;0;0;0;0;0;0;0;0;
METHANOL_TO_HVC;0;0;0;0;0;0;0;0;0;0;1;-1.43889;0;0;-0.15;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;
REDIFUEL;-0.407;0.701;1;0;0;-3.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.994;0;
ADLIBIO_TO_FUEL;-0.032;1;0;0.76;0;-1.83;0;0;0;0;-0.438;0;-0.0778;0;-0.0147;0;0;0;0;0;0;0;0;0;0;0;0;0.0147;0;
ADLIBIO_TO_HVC;-0.033;0;0;0;0;-1.89;0;0;0;0;-0.453;0;-0.0804;1;-0.233;0;0;0;0;0;0;0;0;0;0;0;0;0.221;0;
