Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_tech;crit_2_tech;crit_3_tech;crit_1_op;crit_2_op;crit_3_op;lca_tech;lca_op;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];[ACI];[LU];[WD];[ACI];[LU];[WD];[CC];[CC];
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_FUEL;911;16.6;881.57;20;1;0;1;0;1.00E+15;18.07134055;28464.33513;719.736633;0.000122567;0.08555071;0.01207822;1306.767208;0.033858523;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_HVC;1184;25.1;949.7;20;1;0;1;0;1.00E+15;17.31204051;27268.35463;689.495597;0.000169075;0.118012695;0.016661268;1251.861021;0.259706047;
Storage;Other storage;Ammonia storage;AMMONIA_STORAGE;0.01;0.000397;0;20;1;0;1;0;1.00E+15;0.581195956;220.8119163;41.64710123;0;0;0;85.71400806;0;
Synthetic fuels;Synthetic fuels;Amonia to H2;AMMONIA_TO_H2;736.79;67.9913424;0;25;0.86;0;1;0;1.00E+15;9.278646785;14614.8821;369.5454676;0;0;0;670.9536195;0;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric;ATM_CCS;5281.82;131.112;0;40;1;0;1;0;1.00E+15;5.149089851;12210.03667;484.930942;4.70E-05;0.091498599;0.005003144;1269.690243;-0.97050605;
Storage;Electricity storage;Batteries;BATT_LI;425.88;0.658412583;61.3;15;1;0;1;0;1.00E+15;1.433803089;854.1298699;339.6615991;0;0;0;102.0272486;0;
Storage;Electricity storage;Batteries of electric cars;BEV_BATT;0;0;0;1;1;0;1;0;1.00E+15;0;0;0;0;0;0;0;0;
Synthetic fuels;Synthetic fuels;Biomass hydrolysis;BIO_HYDROLYSIS;1721.7;117.3865932;0;15;0.85;0;1;0;1.00E+15;0.85643765;10487.12892;32.6804112;0.000339471;0.734512907;0.042138043;106.3281829;0.616342722;
Synthetic fuels;Synthetic fuels;Biomass methanolation;BIOMASS_TO_METHANOL;2614.5;78;0;20;1;0;1;0;1.00E+15;41.45778144;65300.53381;1651.160518;0.00038525;0.773326181;0.064160612;2997.877725;0.649844667;
Synthetic fuels;Synthetic fuels;Biomass methanation;BIOMETHANATION;3780;57.75;0;20;0.85;0;1;0;1.00E+15;12.20971645;58687.88695;769.7816214;9.23E-05;0.136332402;0.007977314;2188.028299;0.844071726;
Mobility;Freight;Boat diesel;BOAT_FREIGHT_DIESEL;1066.44;14.77272727;0;40;0.11416;0;1;0;1.00E+15;0.26087277;311.7376581;15.65340404;0.000363555;0.000171845;6.72E-06;37.26686944;0.031203979;
