Td 	 Time	AMMONIA	AMMONIA_RE_BE	AMMONIA_RE_IMPORT	BIODIESEL	BIODIESEL_BE	BIOETHANOL	CO2_ATM	CO2_CAPTURED	CO2_EMISSIONS	CO2_INDUSTRY	COAL	DIESEL	ELEC_EXPORT	ELECTRICITY	GAS	GAS_RE_BE	GAS_RE_IMPORT	GASOLINE	H2	H2_RE_BE	H2_RE_IMPORT	LFO	LFO_RE_BE	METHANOL	METHANOL_RE_BE	METHANOL_RE_IMPORT	RES_GEO	RES_HYDRO	RES_SOLAR	RES_WIND	URANIUM	WASTE	WET_BIOMASS	WOOD	WOOD_PRODUCTION	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	BUS_COACH_ELECTRIC	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	ADLIBIO_TO_HVC	OIL_TO_HVC	GAS_TO_HVC	METHANOL_TO_HVC	ADLIBIO_TO_FUEL	AMMONIA_TO_H2	ATM_CCS	BIO_HYDROLYSIS	BIOMETHANATION	DHN	EFFICIENCY	GASIFICATION_SNG	GRID	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	REDIFUEL	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 3 	 3																																0.015518																-0.002899					-0.006201					-0.006418																																																																																																																				0.000000	
 3 	 4																																0.015591																-0.002991					-0.006481					-0.006119																																																																																																																				0.000000	
 3 	 5																																0.015628																-0.002998					-0.006512					-0.006118																																																																																																																				0.000000	
 3 	 6																																0.015621																-0.002994					-0.006513					-0.006114																																																																																																																				0.000000	
 3 	 7																																0.015629																-0.002989					-0.006535					-0.006104																																																																																																																				0.000000	
 3 	 8																																0.015622																-0.002985					-0.006537					-0.006100																																																																																																																				0.000000	
 3 	 9																																0.015622																-0.002982					-0.006541					-0.006099																																																																																																																				0.000000	
 3 	 10																																0.015626																-0.002981					-0.006544					-0.006101																																																																																																																				0.000000	
 3 	 11																																0.015633																-0.002982					-0.006545					-0.006106																																																																																																																				0.000000	
 3 	 12																																0.015635																-0.002981					-0.006546					-0.006109																																																																																																																				0.000000	
 3 	 13																																0.015634																-0.002979					-0.006547					-0.006108																																																																																																																				0.000000	
 3 	 14																																0.015624																-0.002976					-0.006544					-0.006104																																																																																																																				0.000000	
 3 	 15																																0.015620																-0.002973					-0.006546					-0.006101																																																																																																																				0.000000	
 3 	 16																																0.015611																-0.002968					-0.006547					-0.006097																																																																																																																				0.000000	
 3 	 17																																0.015597																-0.002962					-0.006547					-0.006088																																																																																																																				0.000000	
 3 	 18																																0.015593																-0.002958					-0.006552					-0.006083																																																																																																																				0.000000	
 3 	 19																																0.015552																-0.002943					-0.006535					-0.006074																																																																																																																				0.000000	
 3 	 20																																0.015593																-0.002955					-0.006552					-0.006087																																																																																																																				0.000000	
 3 	 21																																0.015583																-0.002953					-0.006547					-0.006084																																																																																																																				0.000000	
 3 	 22																																0.015573																-0.002951					-0.006538					-0.006084																																																																																																																				0.000000	
 3 	 23																																0.015551																-0.002946					-0.006520					-0.006085																																																																																																																				0.000000	
 3 	 24																																0.015529																-0.002936					-0.006525					-0.006067																																																																																																																				0.000000	
 4 	 1																																0.021980																-0.004381					-0.007713					-0.009886																																																																																																																				0.000000	
 4 	 2																																0.022211																-0.004056					-0.007019					-0.011136																																																																																																																				0.000000	
 4 	 3																																0.023247																-0.003820					-0.007038					-0.012389																																																																																																																				0.000000	
 4 	 4																																0.022242																-0.004405					-0.007970					-0.009867																																																																																																																				0.000000	
 4 	 5																																0.022301																-0.004422					-0.008011					-0.009869																																																																																																																				0.000000	
 4 	 6																																0.022372																-0.004424					-0.008097					-0.009851																																																																																																																				0.000000	
 4 	 7																																0.022522																-0.004424					-0.008254					-0.009844																																																																																																																				0.000000	
 4 	 8																																0.022568																-0.004420					-0.008310					-0.009838																																																																																																																				0.000000	
 4 	 9																																0.022617																-0.004420					-0.008359					-0.009838																																																																																																																				0.000000	
 4 	 10																																0.022657																-0.004417					-0.008407					-0.009833																																																																																																																				0.000000	
 4 	 11																																0.022691																-0.004417					-0.008439					-0.009835																																																																																																																				0.000000	
 4 	 12																																0.022718																-0.004417					-0.008467					-0.009834																																																																																																																				0.000000	
 4 	 13																																0.022743																-0.004418					-0.008488					-0.009836																																																																																																																				0.000000	
 4 	 14																																0.022758																-0.004418					-0.008504					-0.009837																																																																																																																				0.000000	
 4 	 15																																0.022768																-0.004415					-0.008519					-0.009835																																																																																																																				0.000000	
 4 	 16																																0.022766																-0.004412					-0.008521					-0.009833																																																																																																																				0.000000	
 4 	 17																																0.022759																-0.004406					-0.008530					-0.009822																																																																																																																				0.000000	
 4 	 18																																0.022742																-0.004398					-0.008536					-0.009807																																																																																																																				0.000000	
 4 	 19																																0.022600																-0.004377					-0.008415					-0.009809																																																																																																																				0.000000	
 4 	 20																																0.022599																-0.004382					-0.008419					-0.009798																																																																																																																				0.000000	
 4 	 21																																0.022566																-0.004367					-0.008399					-0.009800																																																																																																																				0.000000	
 4 	 22																																0.022547																-0.004362					-0.008391					-0.009793																																																																																																																				0.000000	
 4 	 23																																0.022496																-0.004340					-0.008359					-0.009797																																																																																																																				0.000000	
 4 	 24																																0.022456																-0.004319					-0.008331					-0.009807																																																																																																																				0.000000	
 5 	 1																																0.007519																-0.001385					-0.003241					-0.002893																																																																																																																				0.000000	
 5 	 2																																0.007507																-0.001373					-0.003229					-0.002905																																																																																																																				0.000000	
 5 	 3																																0.007471																-0.001350					-0.003183					-0.002938																																																																																																																				0.000000	
 5 	 4																																0.007561																-0.001394					-0.003279					-0.002888																																																																																																																				0.000000	
 5 	 5																																0.007541																-0.001393					-0.003267					-0.002880																																																																																																																				0.000000	
 5 	 6																																0.007539																-0.001393					-0.003269					-0.002877																																																																																																																				0.000000	
 5 	 7																																0.007539																-0.001393					-0.003270					-0.002876																																																																																																																				0.000000	
 5 	 8																																0.007548																-0.001391					-0.003268					-0.002889																																																																																																																				0.000000	
 5 	 9																																0.007534																-0.001393					-0.003267					-0.002875																																																																																																																				0.000000	
 5 	 10																																0.007535																-0.001393					-0.003265					-0.002876																																																																																																																				0.000000	
 5 	 11																																0.007532																-0.001394					-0.003262					-0.002876																																																																																																																				0.000000	
 5 	 12																																0.007527																-0.001393					-0.003259					-0.002875																																																																																																																				0.000000	
 5 	 13																																0.007524																-0.001392					-0.003258					-0.002875																																																																																																																				0.000000	
 5 	 14																																0.007524																-0.001392					-0.003257					-0.002875																																																																																																																				0.000000	
 5 	 15																																0.007526																-0.001392					-0.003259					-0.002875																																																																																																																				0.000000	
 5 	 16																																0.007527																-0.001392					-0.003260					-0.002875																																																																																																																				0.000000	
 5 	 17																																0.007525																-0.001391					-0.003260					-0.002874																																																																																																																				0.000000	
 5 	 18																																0.007525																-0.001390					-0.003260					-0.002874																																																																																																																				0.000000	
 5 	 19																																0.007525																-0.001390					-0.003260					-0.002874																																																																																																																				0.000000	
 5 	 20																																0.007523																-0.001390					-0.003259					-0.002874																																																																																																																				0.000000	
 5 	 21																																0.007520																-0.001391					-0.003256					-0.002874																																																																																																																				0.000000	
 5 	 22																																0.007518																-0.001391					-0.003250					-0.002878																																																																																																																				0.000000	
 5 	 23																																0.007516																-0.001391					-0.003248					-0.002877																																																																																																																				0.000000	
 5 	 24																																0.007513																-0.001388					-0.003246					-0.002880																																																																																																																				0.000000	
 6 	 1																																0.009763																-0.001647					-0.004540					-0.003576																																																																																																																				0.000000	
 6 	 2																																0.009528																-0.001608					-0.004321					-0.003599																																																																																																																				0.000000	
