Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_tech;crit_2_tech;crit_3_tech;crit_1_op;crit_2_op;crit_3_op;lca_tech;lca_op;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];[ECO];[LU];[MD];[ECO];[LU];[MD];[CC];[CC];
Heat;Heat low temperature centralised;Heat pump (DHN);DHN_HP_ELEC;317.78;10.7756;174.79;25;0.95;0;1;0;1.00E+15;11473.87833;628.4980081;0.030026948;0.00223324;0.000277927;2.63217E-09;114.5500305;0.013237464;
Heat;Heat low temperature centralised;Solar thermal (DHN);DHN_SOLAR;346.7;0.40894;221.22;30;1;0;1;0;1.00E+15;340717.4387;24416.58151;0.830823562;0;0;0;1592.187525;0;
Storage;Other storage;Diesel storage;DIESEL_STORAGE;0.01;0.0004;0;20;1;0;1;0;1.00E+15;4.655543098;0.390206481;1.0695E-05;0;0;0;0.019747487;0;
Infrastructure;Infrastructure;Efficiency mesures in energy system;EFFICIENCY;5600;0;0;1;1;0;1;0;1.00E+15;0;0;0;0;0;0;0;0;
Storage;Other storage;Gas storage;GAS_STORAGE;0.05;0.00131;0;50;1;0;1;0;1.00E+15;681.7578837;109.0563376;0.000441133;0;0;0;26.49513397;0;
Synthetic fuels;Synthetic fuels;Gas to HVC;GAS_TO_HVC;737.88;18.447;0;20;1;0;1;0;0.00E+00;141646.2704;29436.26391;0.357194578;0;0;0;650.2582654;0.298730165;
Synthetic fuels;Synthetic fuels;Wood gasification;GASIFICATION_SNG;2404.76;169.524;0;25;0.85;0;1;0;1.00E+15;4265.251602;10910.47419;0.00575808;8.956891449;0.448265974;3.4616E-07;67.9352623;0.369726465;
Storage;Other storage;Gasoline storage;GASOLINE_STORAGE;0.01;0.0004;0;20;1;0;1;0;1.00E+15;4.816701469;0.403714044;1.10653E-05;0;0;0;0.020431075;0;
Electricity;Electricity;Geothermal power plant;GEOTHERMAL;6977.45;129.626;24929.1;30;0.95;0;1;0;0;5034707.869;122874.5028;0.114368364;7.16E-05;7.28E-06;3.59762E-12;3782.673413;5.78E-06;
Infrastructure;Infrastructure;Electrical grid cost;GRID;74919.06;0;0;80;1;0;1;0;1.00E+15;991693.335;53713.22561;2.648799782;0;0;0;1116.085382;0;
Synthetic fuels;Synthetic fuels;Biomass to hydrogen;H2_BIOMASS;1767.77;124.538;0;25;0.86;0;1;0;1.00E+15;4265.251602;10910.47419;0.00575808;0.909875255;0.004531407;8.91291E-09;67.9352623;0.000272504;
Synthetic fuels;Synthetic fuels;Electrolysers;H2_ELECTROLYSIS;506.33;13.9241;0;15;0.9;0;1;0;1.00E+15;9520.028692;1945.463863;0.014189737;0.669227983;0.002280952;4.88272E-09;119.294361;8.60E-05;
Storage;Other storage;Hydrogen storage;H2_STORAGE;6.19;0.39;0;20;1;0;1;0;1.00E+15;267.9576514;42.86342821;0.000173383;0;0;0;10.4136293;0;
Synthetic fuels;Synthetic fuels;Haber bosch (H2 to amonia);HABER_BOSCH;783.58;15.3201;0;20;1;0;1;0;1.00E+15;354364.1958;73642.30599;0.893613145;0.148310687;0.012323734;1.52115E-07;1626.786548;0.0010169;
Electricity;Electricity;Hydro river;HYDRO_RIVER;5044.92;50.4448;1262.82;40;1;0;1;0;0.115;25802.75461;14868.36375;0.017650189;0.000651648;-0.016084381;4.08205E-10;762.7870925;5.59E-06;
Heat;Heat high temperature;Boiler coal (industry);IND_BOILER_COAL;115.18;2.30359;48.18;17;0.9;0;1;0;1.00E+15;4267.111064;3447.775938;0.006120047;9.044971925;0.013440154;4.12273E-09;62.96669179;0.406062275;
Heat;Heat high temperature;Boiler gas (industry);IND_BOILER_GAS;58.89;1.17989;12.32;17;0.95;0;1;0;1.00E+15;284.7429875;61.81792516;9.43189E-05;0.000177977;0;0;7.190481389;0.203012203;
Heat;Heat high temperature;Boiler oil (industry);IND_BOILER_OIL;54.86;1.17989;12.32;17;0.95;0;1;0;1.00E+15;284.7429875;61.81792516;9.43189E-05;0.098429126;0;0;7.190481389;0.281197252;
Heat;Heat high temperature;Boiler waste (industry);IND_BOILER_WASTE;115.18;2.30359;28.87;17;0.9;0;1;0;1.00E+15;2692.104063;1455.53392;0.002493366;0.732550624;0.01172001;2.20893E-08;48.22392758;0.336013458;
Heat;Heat high temperature;Boiler wood (industry);IND_BOILER_WOOD;115.18;2.30359;28.87;17;0.9;0;1;0;1.00E+15;2554.178428;1380.961974;0.002365622;5.95545467;0.000833133;6.41171E-10;45.75325198;0.434750928;
Heat;Heat high temperature;Cogeneration gas (industry);IND_COGEN_GAS;1309.8;84.1924;1024.32;25;0.85;0;1;0;1.00E+15;18963.11382;2875.090738;0.025005113;0.017805756;0.025189952;1.0642E-08;292.394924;0.396473272;
Heat;Heat high temperature;Cogeneration waste (industry);IND_COGEN_WASTE;2652.42;97.7822;647.82;25;0.85;0;1;0;1.00E+15;16147.90497;7154.326344;0.007271224;3.003149191;0.048047108;9.05569E-08;520.6449205;1.377513734;
Heat;Heat high temperature;Cogeneration wood (industry);IND_COGEN_WOOD;1005.39;36.8097;165.33;25;0.85;0;1;0;1.00E+15;6353.93567;2765.987506;0.005286302;9.552277912;0.004619908;4.00763E-09;124.1573762;0.591740225;
Heat;Heat high temperature;Electrical resistors (industry);IND_DIRECT_ELEC;332.34;1.50763;1.47;15;0.95;0;1;0;1.00E+15;55.02262208;12.04498518;8.83098E-05;0;0;0;0.832280962;0;
Synthetic fuels;Synthetic fuels;Carbon capture from industry;INDUSTRY_CCS;2488.63;61.776;0;40;1;0;1;0;1.00E+15;0;0;0;0.197596797;0.035493436;1.34349E-07;0;0.184123336;
Storage;Other storage;LFO storage;LFO_STORAGE;0.01;0.0004;0;20;1;0;1;0;1.00E+15;3.782709302;0.317049516;8.6899E-06;0;0;0;0.016045175;0;
Synthetic fuels;Synthetic fuels;Methane to methanol;METHANE_TO_METHANOL;546.2;23.8833;0;25;0.85;0;1;0;1.00E+15;1615.014231;258.3432351;0.001045;0.30906622;0.004274586;2.54203E-07;62.76424435;0.004103222;
Storage;Other storage;Methanol storage;METHANOL_STORAGE;0.01;0.0004;0;20;1;0;1;0;1.00E+15;339205.5441;70492.10607;0.855387019;0;0;0;1557.197434;0;
Synthetic fuels;Synthetic fuels;Methanol to HVC;METHANOL_TO_HVC;645;58.0497;0;20;1;0;1;0;1.00E+15;141646.2704;29436.26391;0.357194578;0;0;0;650.2582654;0;
Electricity;Electricity;Nuclear;NUCLEAR;4845.73;102.931;707.88;60;0.849;0;1;0;0;15519.43293;6317.032983;0.026151767;0.035611136;0.007817583;3.48972E-08;168.935977;0.000932935;
Synthetic fuels;Synthetic fuels;Oil to HVC;OIL_TO_HVC;365.42;1.94276;0;20;1;0;1;0;1.00E+15;141646.2704;29436.26391;0.357194578;0;0;0;650.2582654;0.212727264;
Storage;Electricity storage;Batteries of plug-in hybrid cars;PHEV_BATT;0;0;0;1;1;0;1;0;1.00E+15;8915.625675;1010.268932;0.027602726;0;0;0;68.77326878;0;
Storage;Electricity storage;Pumped hydro storage;PHS;58.8;0;8.33;50;1;0;1;5;6.5;118592.1988;64791.75397;0.085270042;0;0;0;4049.314115;0;
Electricity;Electricity;Photovoltaic;PV;638.95;7.29687;2081.43;25;1;0;1;0;59.2;28188.09157;5449.181585;0.049363474;0;0;0;427.1897089;0;
Synthetic fuels;Synthetic fuels;Wood pyrolisis for diesel alone;REDIFUEL;6473;173;1100.251804;20;1;0;1;0;1.00E+15;163524.2228;53279.20725;0.402744943;14.72011989;0.366642612;7.70657E-07;843.7706974;0.931320802;
Synthetic fuels;Synthetic fuels;Steam methane reforming;SMR;630.24;58.1587;0;25;0.86;0;1;0;1.00E+15;0;0;0;0.447067073;0.004464934;1.56747E-07;0;0.257592867;
Synthetic fuels;Synthetic fuels;Hydrogen methanation;SYN_METHANATION;172.88;44.1711;0;40;1;0;1;0;1.00E+15;4151.354407;10885.74702;0.005720352;0.003431987;0.000342843;3.19249E-09;65.05906975;4.22E-05;
Synthetic fuels;Synthetic fuels;Hydrogen methanolation;SYN_METHANOLATION;957.07;27.1595;0;20;0.95;0;1;0;1.00E+15;339205.5441;70492.10607;0.855387019;3.816404182;0.097791665;1.4794E-07;1557.197434;0.005326897;
Mobility;Freight;Train (freight);TRAIN_FREIGHT;104.42;2.08831;0;40;0.34247;0;1;0;1.00E+15;6200.811315;1517.828712;0.003697876;0.00137714;0;0;141.7383376;0.002276507;
Mobility;Passenger public;Train (passenger);TRAIN_PUB;1506.02;54.3527;0;40;0.27507;0;0.5;0;1.00E+15;6985.407542;1085.257482;0.015118063;0.002059263;0;0;42.70429922;0.00011674;
Mobility;Passenger public;Tram or metro;TRAMWAY_TROLLEY;625;12.5;0;30;0.34247;0;0.3;0;1.00E+15;2617.708481;342.4543074;0.005185272;0.000932465;0;0;19.62622138;0;
Mobility;Freight;Trucks diesel;TRUCK_DIESEL;383.78;18.5556;0;15;0.09259;0;1;0;1.00E+15;19547.11609;3008.555561;0.033809237;0.457041374;2.80E-05;2.65292E-10;136.0574934;0.130641803;
Mobility;Freight;Truck electric;TRUCK_ELEC;429.72;23.1333;0;15;0.09259;0;1;0;1.00E+15;18360.65755;3314.309061;0.04853985;0.480280182;1.54E-05;1.45768E-10;159.668155;0.00034135;
Mobility;Freight;Truck fuel cell (hydrogen);TRUCK_FUEL_CELL;478.98;12.0667;0;15;0.09259;0;1;0;1.00E+15;50994.1632;3473.752935;0.038203519;0.371618088;1.54E-05;1.45768E-10;160.4508396;0.00034135;
Mobility;Freight;Truck methanol;TRUCK_METHANOL;383.78;18.5556;0;15;0.09259;0;1;0;1.00E+15;19363.06858;2959.243092;0.034600117;0.457079681;2.80E-05;2.65292E-10;133.3415601;0.150125174;
Mobility;Freight;Truck gas;TRUCK_NG;381.34;18.5556;0;15;0.09259;0;1;0;1.00E+15;19384.37139;3005.936165;0.034421256;1.565044613;4.776150876;6.38776E-07;135.2136098;0.156380867;
Storage;Thermal storage;Decentralised fuel cell cogeneration gas;TS_DEC_ADVCOGEN_GAS;18.97;0.1328;0;20;1;0;1;0;1.00E+15;244.682776;147.308575;0.000152555;0;0;0;4.044981904;0;
Storage;Thermal storage;Decentralised fuel cell cogenration H2;TS_DEC_ADVCOGEN_H2;18.97;0.1328;0;20;1;0;1;0;1.00E+15;244.682776;147.308575;0.000152555;0;0;0;4.044981904;0;
Storage;Thermal storage;Decentralised boiler gas;TS_DEC_BOILER_GAS;18.97;0.1328;0;20;1;0;1;0;1.00E+15;244.682776;147.308575;0.000152555;0;0;0;4.044981904;0;
Storage;Thermal storage;Decentralised boiler oil;TS_DEC_BOILER_OIL;18.97;0.1328;0;20;1;0;1;0;1.00E+15;244.682776;147.308575;0.000152555;0;0;0;4.044981904;0;
Storage;Thermal storage;Decentralised boiler wood;TS_DEC_BOILER_WOOD;18.97;0.1328;0;20;1;0;1;0;1.00E+15;244.682776;147.308575;0.000152555;0;0;0;4.044981904;0;
Storage;Thermal storage;Decentralised cogeneration gas;TS_DEC_COGEN_GAS;18.97;0.1328;0;20;1;0;1;0;1.00E+15;244.682776;147.308575;0.000152555;0;0;0;4.044981904;0;
Storage;Thermal storage;Decentralised cogenration oil;TS_DEC_COGEN_OIL;18.97;0.1328;0;20;1;0;1;0;1.00E+15;244.682776;147.308575;0.000152555;0;0;0;4.044981904;0;
Storage;Thermal storage;Decentralised direct elec;TS_DEC_DIRECT_ELEC;18.97;0.1328;0;20;1;0;1;0;1.00E+15;244.682776;147.308575;0.000152555;0;0;0;4.044981904;0;
Storage;Thermal storage;Decentralised electrical heat pumps;TS_DEC_HP_ELEC;18.97;0.1328;0;20;1;0;1;0;1.00E+15;244.682776;147.308575;0.000152555;0;0;0;4.044981904;0;
Storage;Thermal storage;Decentralised thermal heat pumps gas;TS_DEC_THHP_GAS;18.97;0.1328;0;20;1;0;1;0;1.00E+15;244.682776;147.308575;0.000152555;0;0;0;4.044981904;0;
Storage;Thermal storage;Centralised daily;TS_DHN_DAILY;3;0.0086;0;40;1;0;1;0;1.00E+15;244.682776;147.308575;0.000152555;0;0;0;4.044981904;0;
Storage;Thermal storage;Centralised seasonal;TS_DHN_SEASONAL;0.52;0.00283;0;25;1;0;1;0;1.00E+15;244.682776;147.308575;0.000152555;0;0;0;4.044981904;0;
Storage;Thermal storage;Thermal storage industries;TS_HIGH_TEMP;28.03;0.3;0;25;1;0;1;0;1.00E+15;244.682776;147.308575;0.000152555;0;0;0;4.044981904;0;
Electricity;Electricity;Wind offshore;WIND_OFFSHORE;4653.2;32.3746;622.85;30;1;0;1;0;6;29185.56262;5638.870769;0.053200266;0.004956319;0.007353306;3.10473E-09;480.9130109;4.25E-05;
Electricity;Electricity;Wind onshore;WIND_ONSHORE;978.82;11.3845;622.85;30;1;0;1;0;10;20738.9832;10298.19299;0.029715515;0.003428284;0.005086279;2.14754E-09;306.3216957;2.94E-05;
