TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
DEC_BOILER_OIL	2985.156824	179.049143	17.000000	0.000000	17.471361	Infinity	0.484000	0.484000	1.000000	0.387400	1.000000	0.067080	368.471014
DEC_SOLAR	322.010746	3.572774	20.000000	0.000000	0.425063	Infinity	0.002000	0.002000	1.000000	0.065799	1.000000	0.058246	94.032443
DEC_DIRECT_ELEC	0.000003	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	1.000000	0.074944	0.000000
TRAMWAY_TROLLEY	342.812281	6.856246	30.000000	0.000000	0.548500	Infinity	0.050000	0.050000	1.000000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	3702.723587	193.386395	15.000000	0.000000	6.329009	Infinity	0.500000	0.500000	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000002	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	18.513741	0.966938	15.000000	0.000000	0.253162	Infinity	0.000000	0.020000	0.100000	0.296799	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000002	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	0.000014	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001033	0.296800	0.074944	0.000000
TRAIN_PUB	8844.749044	319.209856	40.000000	0.000000	5.872929	Infinity	0.430000	0.430000	1.000000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	29233.341962	1765.165188	10.000000	0.000000	73.548549	Infinity	0.431000	0.431000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_DIESEL	38001.486779	2219.767038	10.000000	0.000000	92.490293	Infinity	0.542000	0.542000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_NG	140.287383	8.190768	10.000000	0.000000	0.341282	Infinity	0.001000	0.002000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_METHANOL	0.000001	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.051370	0.108434	0.000000
CAR_HEV	1157.282128	92.831577	10.000000	0.000000	2.730341	Infinity	0.016000	0.016000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_PHEV	0.017517	0.001258	10.000000	0.000000	0.000037	Infinity	0.000000	0.000000	0.000000	0.000000	0.051370	0.108434	0.000000
CAR_BEV	942.473554	15.358237	10.000000	0.000000	1.535824	Infinity	0.009000	0.009000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000002	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.051370	0.108434	0.000000
TRAIN_FREIGHT	602.026457	12.040020	40.000000	0.000000	5.765432	Infinity	0.000000	1.000000	1.000000	0.342470	0.342470	0.033427	0.000000
BOAT_FREIGHT_DIESEL	10015.397020	138.737413	40.000000	0.000000	8.924629	Infinity	0.430000	0.430000	1.000000	0.114160	0.114160	0.033427	0.000000
BOAT_FREIGHT_NG	0.000002	0.000000	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.114160	0.033427	0.000000
BOAT_FREIGHT_METHANOL	854.622465	45.185258	40.000000	0.000000	11.830322	Infinity	0.000000	0.570000	1.000000	0.114160	0.114160	0.033427	0.000000
TRUCK_DIESEL	12434.678231	657.413348	15.000000	0.000000	35.429462	Infinity	0.923000	0.923000	1.000000	0.092590	0.092590	0.074944	0.000000
TRUCK_METHANOL	0.000002	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.092590	0.074944	0.000000
TRUCK_FUEL_CELL	0.000002	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.092590	0.074944	0.000000
TRUCK_ELEC	0.000002	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.092590	0.074944	0.000000
TRUCK_NG	1050.084668	54.843798	15.000000	0.000000	2.955654	Infinity	0.060000	0.077000	1.000000	0.092590	0.092590	0.074944	0.000000
HABER_BOSCH	1318.185530	25.772407	20.000000	0.000000	1.367455	Infinity	0.000000	1.000000	1.000000	0.824659	1.000000	0.058246	0.000000
SYN_METHANOLATION	0.001490	0.000042	20.000000	0.000000	0.000001	Infinity	0.000000	0.189632	1.000000	0.000741	0.950000	0.058246	0.000000
METHANE_TO_METHANOL	0.000544	0.000024	25.000000	0.000000	0.000000	Infinity	0.000000	0.251738	1.000000	0.000984	0.850000	0.048263	0.000000
BIOMASS_TO_METHANOL	0.001506	0.000045	20.000000	0.000000	0.000000	Infinity	0.000000	0.558631	1.000000	0.002183	1.000000	0.058246	0.000000
OIL_TO_HVC	2056.846107	10.935149	20.000000	0.000000	4.575344	Infinity	0.000000	1.000000	1.000000	1.000000	1.000000	0.058246	0.000000
GAS_TO_HVC	0.001468	0.000037	20.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.005853	1.000000	0.058246	0.000000
METHANOL_TO_HVC	0.000001	0.000000	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000000
ADLIBIO_TO_HVC	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000000
PHS	382.199993	0.000000	50.000000	5.000000	6.500000	6.500000	0.000000	-1.000000	1.000000	0.024904	1.000000	0.028572	
BATT_LI	0.003670	0.000006	15.000000	0.000000	0.000007	Infinity	0.000000	-1.000000	1.000000	0.002070	1.000000	0.074944	
BEV_BATT	0.000000	0.000000	1.000000	0.000000	1.523635	Infinity	0.000000	-1.000000	1.000000	0.008052	1.000000	1.015000	
PHEV_BATT	0.000000	0.000000	1.000000	0.000000	0.000007	Infinity	0.000000	-1.000000	1.000000	0.000363	1.000000	1.015000	
