Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_tech;crit_2_tech;crit_3_tech;crit_1_op;crit_2_op;crit_3_op;lca_tech;lca_op;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];[ACI];[LU];[WD];[ACI];[LU];[WD];[CC];[CC];
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_FUEL;680;12.4;881.57;20;1;0;1;0;1.00E+15;16.18891065;30667.59633;602.8558992;0.000108716;0.099583629;0.011220819;721.5500717;0;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_HVC;884;19.3;949.7;20;1;0;1;0;1.00E+15;15.5087043;29379.04182;577.5258186;0.000149968;0.137370366;0.015478528;691.2328409;0.468380098;
Storage;Other storage;Ammonia storage;AMMONIA_STORAGE;0.01;0.000397;0;20;1;0;1;0;1.00E+15;0.517938154;273.7790101;35.77424536;0;0;0;67.50290226;0;
Synthetic fuels;Synthetic fuels;Amonia to H2;AMMONIA_TO_H2;647.24;59.72777924;0;25;0.86;0;1;0;1.00E+15;8.3121218;15746.13644;309.5335918;0;0;0;370.4765694;0;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric;ATM_CCS;5038.18;125.064;0;40;1;0;1;0;1.00E+15;4.385587663;13392.03489;438.5273428;3.4507E-05;0.110440878;0.004072883;938.0553177;-0.97505428;
Storage;Electricity storage;Batteries;BATT_LI;205.1;0.317096523;61.3;15;1;0;1;0;1.00E+15;1.329411215;996.8236585;332.407275;0;0;0;71.59759651;0;
Storage;Electricity storage;Batteries of electric cars;BEV_BATT;0;0;0;1;1;0;1;0;1.00E+15;0;0;0;0;0;0;0;0;
Synthetic fuels;Synthetic fuels;Biomass hydrolysis;BIO_HYDROLYSIS;1512.45;103.1196072;0;15;0.85;0;1;0;1.00E+15;0.797494789;10791.52217;32.12875668;0.000335265;0.746605726;0.041722411;76.45490419;0.614560371;
Synthetic fuels;Synthetic fuels;Biomass methanolation;BIOMASS_TO_METHANOL;2016;30.8;0;20;1;0;1;0;1.00E+15;37.13926577;70355.07423;1383.022363;0.000345842;0.709011204;0.059382185;1655.32076;0.584232916;
Synthetic fuels;Synthetic fuels;Biomass methanation;BIOMETHANATION;936.83;12.97727273;0;20;0.85;0;1;0;1.00E+15;11.07294456;61322.38782;718.3172555;9.07059E-05;0.38644045;0.009653203;1591.146952;0.837013858;
Mobility;Freight;Boat diesel;BOAT_FREIGHT_DIESEL;78.01;3.819444444;0;40;0.11416;0;1;0;1.00E+15;0.237066605;337.8978588;14.79528029;0.000323004;0.000190591;6.55663E-06;27.51810029;0.027730809;
Mobility;Freight;Boat methanol;BOAT_FREIGHT_METHANOL;78.01;3.819444444;0;40;0.11416;0;1;0;1.00E+15;0.237066605;337.8978588;14.79528029;0.000371269;0.000190591;6.55663E-06;27.51810029;0.031862731;
Mobility;Freight;Boat gas;BOAT_FREIGHT_NG;77.71;3.819444444;0;40;0.11416;0;1;0;1.00E+15;0.237066605;337.8978588;14.79528029;2.41489E-05;0.000190591;6.55663E-06;27.51810029;0.030963985;
Mobility;Passenger public;Bus gas;BUS_COACH_CNG_STOICH;621.67;30.55555556;0;15;0.2968;0;1;0;1.00E+15;1.681995149;4256.401555;202.8879883;7.81918E-05;9.36462E-05;1.65718E-05;169.1424054;0.068973139;
Mobility;Passenger public;Bus diesel;BUS_COACH_DIESEL;624.12;30.55555556;0;15;0.2968;0;1;0;1.00E+15;1.661425608;4155.685149;201.2775456;3.26764E-05;9.36462E-05;1.65718E-05;164.3561323;0.070085401;
Mobility;Passenger public;Bus electric;BUS_COACH_ELECTRIC;698.8343654;31.25;0;15;0.2968;0;1;0;1.00E+15;4.860758906;4904.992583;244.9863846;3.16678E-07;9.36462E-05;1.65718E-05;207.8923846;0.003014296;
Mobility;Passenger public;Bus fuel cell (H2);BUS_COACH_FC_HYBRIDH2;778.9497692;31.25;0;15;0.2968;0;1;0;1.00E+15;4.860758906;4904.992583;244.9863846;3.14375E-07;9.36462E-05;1.65718E-05;207.8923846;0.003014296;
