Td 	 Time	AMMONIA	AMMONIA_RE_BE	AMMONIA_RE_IMPORT	BIODIESEL	BIODIESEL_BE	BIOETHANOL	CO2_ATM	CO2_CAPTURED	CO2_EMISSIONS	CO2_INDUSTRY	COAL	DIESEL	ELEC_EXPORT	ELECTRICITY	GAS	GAS_RE_BE	GAS_RE_IMPORT	GASOLINE	H2	H2_RE_BE	H2_RE_IMPORT	LFO	LFO_RE_BE	METHANOL	METHANOL_RE_BE	METHANOL_RE_IMPORT	RES_GEO	RES_HYDRO	RES_SOLAR	RES_WIND	URANIUM	WASTE	WET_BIOMASS	WOOD	WOOD_PRODUCTION	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	BUS_COACH_ELECTRIC	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	METHANOL_TO_HVC	ADLIBIO_TO_HVC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	ADLIBIO_TO_FUEL	AMMONIA_TO_H2	ATM_CCS	BIO_HYDROLYSIS	BIOMETHANATION	DHN	EFFICIENCY	GASIFICATION_SNG	GRID	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	REDIFUEL	SMR	SYN_METHANATION	PT_COLLECTOR	ST_COLLECTOR	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1				0.310335	0.000000							0.000000																																																																									-0.000000	-0.000000						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002837	0.002880																			0.000000	
 1 	 2				0.310357	0.000000							0.000000																																																																									-0.000000	-0.000000						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002843	0.002864																			0.000000	
 1 	 3				0.310402	0.000000							0.000000																																																																									-0.000000	-0.000000						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002868	0.002844																			0.000000	
 1 	 4				0.310429	0.000000							0.000000																																																																									-0.000000	-0.000000						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002930	0.002879																			0.000000	
 1 	 5				0.310436	0.000000							0.000000																																																																									-0.000000	-0.000000						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002934	0.002876																			0.000000	
 1 	 6				0.310436	0.000000							0.000000																																																																									-0.000000	-0.000001						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002987	0.002930																			0.000000	
 1 	 7				0.310444	0.000000							0.000000																																																																									-0.000000	-0.000002						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002990	0.002926																			0.000000	
 1 	 8				0.310441	0.000000							0.000000																																																																									-0.000000	-0.000002						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002989	0.002928																			0.000000	
 1 	 9				0.310450	0.000000							0.000000																																																																									-0.000000	-0.000002						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002937	0.002866																			0.000000	
 1 	 10				0.310442	0.000000							0.000000																																																																									-0.000000	-0.000002						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002989	0.002927																			0.000000	
 1 	 11				0.310446	0.000000							0.000000																																																																									-0.000000	-0.000002						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002991	0.002925																			0.000000	
 1 	 12				0.310450	0.000000							0.000000																																																																									-0.000000	-0.000003						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002993	0.002923																			0.000000	
 1 	 13				0.310450	0.000000							0.000000																																																																									-0.000000	-0.000002						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002993	0.002923																			0.000000	
 1 	 14				0.310453	0.000000							0.000000																																																																									-0.000000	-0.000002						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002995	0.002922																			0.000000	
 1 	 15				0.310458	0.000000							0.000000																																																																									-0.000000	-0.000003						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002997	0.002920																			0.000000	
 1 	 16				0.310461	0.000000							0.000000																																																																									-0.000000	-0.000003						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002999	0.002918																			0.000000	
 1 	 17				0.310464	0.000000							0.000000																																																																									-0.000000	-0.000003						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.003000	0.002917																			0.000000	
 1 	 18				0.310461	0.000000							0.000000																																																																									-0.000000	-0.000002						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002999	0.002918																			0.000000	
 1 	 19				0.310460	0.000000							0.000000																																																																									-0.000000	-0.000001						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002999	0.002918																			0.000000	
 1 	 20				0.310460	0.000000							0.000000																																																																									-0.000000	-0.000001						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002999	0.002918																			0.000000	
 1 	 21				0.310458	0.000000							0.000000																																																																									-0.000000	-0.000001						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002999	0.002919																			0.000000	
 1 	 22				0.310462	0.000000							0.000000																																																																									-0.000000	-0.000000						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002947	0.002862																			0.000000	
 1 	 23				0.310482	0.000000							0.000000																																																																									-0.000000	-0.000000						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002955	0.002851																			0.000000	
 1 	 24				0.310482	0.000000							0.000000																																																																									-0.000000	-0.000000						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002956	0.002852																			0.000000	
 2 	 1				0.310168	0.000000							0.000007																																																																									-0.000000	-0.000000						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002919	0.003122																			0.000000	
 2 	 2				0.310102	0.000000							0.000006																																																																									-0.000000	-0.000000						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002839	0.003109																			0.000000	
 2 	 3				0.310100	0.000000							0.000006																																																																									-0.000000	-0.000000						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002839	0.003110																			0.000000	
 2 	 4				0.310122	0.000000							0.000007																																																																									-0.000000	-0.000000						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002927	0.003177																			0.000000	
 2 	 5				0.310119	0.000000							0.000007																																																																									-0.000000	-0.000000						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002916	0.003169																			0.000000	
 2 	 6				0.310108	0.000000							0.000007																																																																									-0.000000	-0.000001						-0.000000								-0.310378			-0.000000																												0.000000																																													-0.002911	0.003175																			0.000000	
