{PERIODS};Electricity (%_elec);Space Heating (%_sh);SPACE_COOLING;Passanger mobility (%_pass);Freight mobility (%_freight);PV;PV_UTILITY;Wind_onshore;Wind_offshore;HYDRO_DAM;Hydro_river;TIDAL;Solar;PT_COLLECTOR;ST_COLLECTOR
41;0.000122026;0.00019216;0;0.00022322;0.000114155;0;0;0.7637;0.9221;0;0;0.135970579;0;0;0
42;0.00012457;0.00019441;0;0.000164478;0.000114155;0;0;0.7446;0.9077;0;0;0.00366547;0;0;0
43;0.000122427;0.00019723;0;0.000117484;0.000114155;0;0;0.7006;0.8668;0;0;0.023811049;0;0;0
44;0.000121127;0.00020321;0;8.81E-05;0.000114155;0;0;0.6394;0.8089;0;0;0.247840064;0;0;0
45;0.000119642;0.00020953;0;5.87E-05;0.000114155;0;0;0.6102;0.7875;0;0;0.331069691;0;0;0
46;0.000117407;0.00021417;0;3.76E-05;0.000114155;0;0;0.6058;0.7932;0;0;0.202564902;0;0;0
47;0.000114766;0.00021968;0;2.35E-05;0.000114155;0;0;0.5831;0.773;0;0;0.063722261;0;0;0
48;0.000113154;0.00022736;0;9.40E-06;0.000114155;0;0;0.5337;0.7174;0;0;0.003121564;0;0;0
49;0.000112313;0.00022328;0;5.87E-06;0.000114155;0;0;0.4574;0.6344;0;0;0.154427782;0;0;0
50;0.000111295;0.00022075;0;2.35E-06;0.000114155;0;0;0.4149;0.5762;0;0;0.646989395;0;0;0
51;0.000110464;0.00022236;0;1.17E-06;0.000114155;0;0;0.401;0.5597;0;0;0.830247943;0;0;0
52;0.000109968;0.00022468;0;1.41E-05;0.000114155;0;0;0.3989;0.578;0;0;0.513986469;0;0;0
53;0.000109358;0.00022708;0;3.76E-05;0.000114155;0;0;0.4094;0.6452;0;0;0.149805255;0;0;0
54;0.000110187;0.00022846;0;9.40E-05;0.000114155;0;0;0.4302;0.7212;0;0;0.00382405;0;0;0
55;0.000111107;0.00022894;0;0.0001821;0.000114155;0;0;0.4607;0.7555;0;0;0.028253056;0;0;0
56;0.000112687;0.00022944;0;0.000158603;0.000114155;0;0;0.4798;0.7204;0;0;0.279175732;0;0;0
57;0.000115206;0.0002316;0;0.000146855;0.000114155;0;0;0.4113;0.5988;0;0;0.365901487;0;0;0
58;0.000118183;0.00023518;0;0.000164478;0.000114155;0.02;0.02;0.3581;0.4848;0;0;0.220538134;0;0;0
59;0.000120096;0.00023962;0;0.000187974;0.000114155;0.04;0.04;0.3235;0.3787;0;0;0.067574554;0;0;0
60;0.000122338;0.00023885;0;0.000206772;0.000114155;0.08;0.08;0.3041;0.308;0;0;0.003121564;0.02149457;0;0
61;0.000123405;0.00023494;0;0.000187974;0.000114155;0.15;0.15;0.2622;0.2379;0;0;0.165801806;0.007176;0;0
62;0.000123502;0.00023514;0;0.000190324;0.000114155;0.02;0.02;0.2023;0.1642;0;0;0.690227384;0.05490086;0;0
63;0.000124134;0.00024158;0;0.000213821;0.000114155;0.01;0.01;0.1572;0.1038;0;0;0.886872888;0.00507;0;0
64;0.000125039;0.00025193;0;0.00022322;0.000114155;0;0;0.1487;0.0895;0;0;0.547903005;0;0;0
65;0.000125797;0.00025289;0;0.00022322;0.000114155;0;0;0.1499;0.197;0;0;0.15953102;0;0;0
66;0.000126943;0.00025128;0;0.000164478;0.000114155;0;0;0.1959;0.2897;0;0;0.003932272;0;0;0
67;0.000125667;0.00024748;0;0.000117484;0.000114155;0;0;0.2499;0.4285;0;0;0.031501888;0;0;0
68;0.00012328;0.00024165;0;8.81E-05;0.000114155;0;0;0.3554;0.5715;0;0;0.301468894;0;0;0
69;0.000120973;0.00023361;0;5.87E-05;0.000114155;0;0;0.4305;0.642;0;0;0.390429696;0;0;0
70;0.000119032;0.00022905;0;3.76E-05;0.000114155;0;0;0.4644;0.6527;0;0;0.233092341;0;0;0
71;0.000116632;0.00023413;0;2.35E-05;0.000114155;0;0;0.4769;0.6563;0;0;0.070227129;0;0;0
72;0.000114278;0.00023534;0;9.40E-06;0.000114155;0;0;0.4999;0.6778;0;0;0.003121564;0;0;0
73;0.000112662;0.00023483;0;5.87E-06;0.000114155;0;0;0.5127;0.6757;0;0;0.177721037;0;0;0
74;0.000111197;0.00023368;0;2.35E-06;0.000114155;0;0;0.4861;0.6254;0;0;0.735350076;0;0;0
75;0.000109638;0.00023389;0;1.17E-06;0.000114155;0;0;0.4522;0.5861;0;0;0.946015657;0;0;0
76;0.000109051;0.0002347;0;1.41E-05;0.000114155;0;0;0.4288;0.5621;0;0;0.583279692;0;0;0
77;0.000108873;0.00023986;0;3.76E-05;0.000114155;0;0;0.4331;0.5654;0;0;0.169668879;0;0;0
78;0.000109271;0.00024261;0;9.40E-05;0.000114155;0;0;0.422;0.5372;0;0;0.004042516;0;0;0
79;0.000109947;0.00024695;0;0.0001821;0.000114155;0;0;0.4068;0.5011;0;0;0.034990692;0;0;0
80;0.000111759;0.0002504;0;0.000158603;0.000114155;0;0;0.3992;0.4743;0;0;0.324918335;0;0;0
81;0.000114339;0.00023857;0;0.000146855;0.000114155;0;0;0.3678;0.4279;0;0;0.416030284;0;0;0
82;0.000116849;0.00021077;0;0.000164478;0.000114155;0.27;0.27;0.3116;0.3692;0;0;0.246114165;0.27418114;0;0
83;0.000119252;0.0001912;0;0.000187974;0.000114155;0.48;0.48;0.2473;0.302;0;0;0.072948228;0.13183114;0;0
84;0.000120156;0.00017873;0;0.000206772;0.000114155;0.54;0.54;0.2123;0.2525;0;0;0.003121564;0.29573143;0;0
