{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV_ROOFTOP;PV_UTILITY;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;DHN_SOLAR;DEC_SOLAR;PT_COLLECTOR;ST_COLLECTOR
109;0.000115996;0.000135496;0;0.000187974;0.000114155;0.070193676;0.070193676;0.532018089;0.252049986;0.179977734;0.356072109;0;0.123198461;0.123198461;0;0
110;0.000117696;0.000114997;0;0.000190324;0.000114155;0.070193676;0.070193676;0.489972228;0.23735257;0.18109417;0.356072109;0;0.045430994;0.045430994;0;0
111;0.000114896;0.000125297;0;0.000213821;0.000114155;0.043871048;0.043871048;0.497597868;0.214929093;0.182202336;0.356072109;0;0.023322243;0.023322243;0;0
112;0.000113896;0.000129097;0;0.00022322;0.000114155;0.017548419;0.017548419;0.509803307;0.233256108;0.183318772;0.356053021;0;0;0;0;0
113;0.000116896;0.000137596;0;0.00022322;0.000114155;0;0;0.512187009;0.24058902;0.184418668;0.356053021;0;0;0;0;0
114;0.000127196;0.000140396;0;0.000164478;0.000114155;0;0;0.555159866;0.196114153;0.185535104;0.356053021;0;0;0;0;0
115;0.000129996;0.000126697;0;0.000117;0.000114155;0;0;0.781313628;0.197911401;0.186651539;0.356053021;0;0;0;0;0
116;0.000124496;0.000127697;0;0.0000881;0.000114155;0;0;0.814939281;0.237970373;0.187759705;0.35602439;0;0;0;0;0
117;0.000115996;0.000132597;0;0.0000587;0.000114155;0;0;0.848896004;0.219973322;0.188876141;0.35602439;0;0;0;0;0
118;0.000108297;0.000163396;0;0.0000376;0.000114155;0;0;0.882852727;0.172349761;0.189976037;0.35602439;0;0;0;0;0
119;0.000104797;0.000194995;0;0.0000235;0.000114155;0;0;0.882852727;0.116926425;0.191092473;0.35602439;0;0;0;0;0
120;9.51469E-05;0.000241894;0;0.0000094;0.000114155;0;0;0.882852727;0.107525976;0.192200639;0.356005302;0;0;0;0;0
121;9.1687E-05;0.000250193;0;0.00000587;0.000114155;0;0;0.882852727;0.092161612;0.193317075;0.356005302;0;0;0;0;0
122;8.63772E-05;0.000260493;0;0.00000235;0.000114155;0;0;0.882852727;0.122100534;0.194433511;0.356005302;0;0;0;0;0
123;8.68072E-05;0.000220494;0;0.00000117;0.000114155;0;0;0.814939281;0.146012356;0.195533407;0.356005302;0;0;0;0;0
124;8.42473E-05;0.000221394;0;0.0000141;0.000114155;0;0;0.747025835;0.148511654;0.196649843;0.35597667;0;0;0;0;0
125;7.97074E-05;0.000242794;0;0.0000376;0.000114155;0;0;0.747025835;0.145829823;0.197758009;0.35597667;0;0;0;0;0
126;7.90275E-05;0.000251293;0;0.000094;0.000114155;0;0;0.848896004;0.142063325;0.198874445;0.35597667;0;0;0;0;0
127;7.92774E-05;0.000217394;0;0.0001821;0.000114155;0;0;0.848896004;0.100719601;0.199990881;0.35597667;0;0;0;0;0
128;8.27173E-05;0.000173195;0;0.000158603;0.000114155;0;0;0.848896004;0.107747122;0.201090777;0.355948039;0;0;0;0;0
129;8.84972E-05;0.000165396;0;0.000146855;0.000114155;0.017548419;0.017548419;0.848896004;0.126776186;0.202207213;0.355948039;0;0;0;0;0
130;9.59969E-05;0.000155996;0;0.000164478;0.000114155;0.096516305;0.096516305;0.843190568;0.148852148;0.203315379;0.355948039;0;0;0;0;0
131;0.000101197;0.000139496;0;0.000187974;0.000114155;0.078967886;0.078967886;0.843190568;0.146640691;0.204431815;0.355948039;0;0.022581553;0.022581553;0;0
132;0.000104997;0.000130797;0;0.000206772;0.000114155;0.070193676;0.070193676;0.848896004;0.22233221;0.205531711;0.355928951;0;0.029001867;0.029001867;0;0
133;0.000106997;0.000157796;0;0.000187974;0.000114155;0.043871048;0.043871048;0.848896004;0.307220584;0.206648147;0.355928951;0;0.044487389;0.044487389;0;0
134;0.000106597;0.000133496;0;0.000190324;0.000114155;0.061419467;0.061419467;0.848896004;0.353755967;0.207764582;0.355928951;0;0.027076673;0.027076673;0;0
135;0.000102297;0.000146196;0;0.000213821;0.000114155;0.026322629;0.026322629;0.848896004;0.427436113;0.208872748;0.355928951;0;0.013022552;0.013022552;0;0
136;0.000101197;0.000147096;0;0.00022322;0.000114155;0.00877421;0.00877421;0.848896004;0.591824628;0.209989184;0.355900319;0;0;0;0;0
137;0.000105597;0.000157796;0;0.00022322;0.000114155;0;0;0.848896004;0.73244875;0.21108908;0.355900319;0;0;0;0;0
138;0.000119996;0.000159196;0;0.000164478;0.000114155;0;0;0.882852727;0.830497051;0.212205516;0.355900319;0;0;0;0;0
