Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_tech;crit_2_tech;crit_3_tech;crit_1_op;crit_2_op;crit_3_op;lca_tech;lca_op;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];[ACI];[LU];[WD];[ACI];[LU];[WD];[CC];[CC];
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_FUEL;715;13;881.57;20;1;0;1;0;1.00E+15;17.06653802;29454.61325;686.6861908;0.000116048;0.092339872;0.011905463;1058.042369;0;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_HVC;929;20.2;949.7;20;1;0;1;0;1.00E+15;16.34945657;28217.02442;657.8338289;0.000160082;0.127377986;0.016422959;1013.586806;0.468512538;
Storage;Other storage;Ammonia storage;AMMONIA_STORAGE;0.01;0.000397;0;20;1;0;1;0;1.00E+15;0.533559661;251.930452;39.3539633;0;0;0;75.87152912;0;
Synthetic fuels;Synthetic fuels;Amonia to H2;AMMONIA_TO_H2;698.25;64.43487218;0;25;0.86;0;1;0;1.00E+15;8.762735539;15123.33585;352.5758699;0;0;0;543.2469935;0;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric;ATM_CCS;5220.91;129.6;0;40;1;0;1;0;1.00E+15;4.800103073;12867.06628;491.8921554;4.00E-05;0.100439573;0.004789221;1163.430901;-0.9724777;
Storage;Electricity storage;Batteries;BATT_LI;350.45;0.5418;61.3;15;1;0;1;0;1.00E+15;1.384510197;908.3653029;337.619684;0;0;0;89.94743694;0;
Storage;Electricity storage;Batteries of electric cars;BEV_BATT;0;0;0;1;1;0;1;0;1.00E+15;0;0;0;0;0;0;0;0;
Synthetic fuels;Synthetic fuels;Biomass hydrolysis;BIO_HYDROLYSIS;1631.64;111.2463714;0;15;0.85;0;1;0;1.00E+15;0.829793912;10555.64499;33.50370503;0.000336992;0.739395105;0.042084237;98.06703772;0.615730995;
Synthetic fuels;Synthetic fuels;Biomass methanolation;BIOMASS_TO_METHANOL;2772;42.35;0;20;1;0;1;0;1.00E+15;39.15264621;67572.34831;1575.338915;0.000374114;0.760138977;0.063048824;2427.27368;0.633817134;
