TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
DEC_COGEN_OIL	0.002081	0.000128	20.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000160	1.000000	0.058246	0.001595
DEC_ADVCOGEN_GAS	0.003397	0.000063	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000224	1.000000	0.058246	0.000959
DEC_ADVCOGEN_H2	0.003474	0.000065	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000341	1.000000	0.058246	0.000981
DEC_BOILER_GAS	0.002277	0.000068	17.000000	0.000000	0.000014	Infinity	0.000000	0.000000	1.000000	0.000866	1.000000	0.067080	0.000303
DEC_BOILER_WOOD	0.000666	0.000023	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000897	1.000000	0.067080	0.000030
DEC_BOILER_OIL	0.001838	0.000110	17.000000	0.000000	0.000013	Infinity	0.000000	0.000000	1.000000	0.000303	1.000000	0.067080	0.000272
DEC_SOLAR	0.002606	0.000029	20.000000	0.000000	0.000004	407.000000	0.000000	0.000000	1.000000	0.004931	1.000000	0.058246	0.000790
DEC_DIRECT_ELEC	0.003690	0.000016	15.000000	0.000000	0.000091	Infinity	0.000000	0.000000	1.000000	0.003203	1.000000	0.074944	0.000133
DEC_THHP_GAS_COLD	0.002490	0.000073	20.000000	0.000000	0.000007	Infinity	0.000000	0.066221	1.000000	0.005572	1.000000	0.058246	0.002802
DEC_ELEC_COLD	0.007740	0.000323	18.000000	0.000000	0.000015	Infinity	0.000000	0.933779	1.000000	0.078575	1.000000	0.063806	0.002413
TRAMWAY_TROLLEY	0.000038	0.000001	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000011	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000033	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	0.000010	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
