Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_tech;crit_2_tech;crit_3_tech;crit_1_op;crit_2_op;crit_3_op;lca_tech;lca_op;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];[ACI];[LU];[WD];[ACI];[LU];[WD];[CC];[CC];
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_FUEL;1114;20.3;881.57;20;1;0;0;0;0.00E+00;19.7307726;27621.38611;721.7592279;0.000132273;0.079035212;0.011969434;1667.375691;0.035958941;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_HVC;1448;30.3;949.7;20;1;0;0;0;0.00E+00;18.90174851;26460.82363;691.4332089;0.000182463;0.109024908;0.016511204;1597.317886;0.262603463;
Storage;Other storage;Ammonia storage;AMMONIA_STORAGE;0.01;0.000397;0;20;1;0;1;0;0.00E+00;0.668780014;195.0036167;43.2105679;0;0;0;101.2763353;0;
Synthetic fuels;Synthetic fuels;Amonia to H2;AMMONIA_TO_H2;775.33;71.54781261;0;25;0.86;0;1;0;0.00E+00;10.13067454;14182.0738;370.5839597;0;0;0;856.1063882;0;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric;ATM_CCS;5342.73;132.624;0;40;1;0;1;0;0.00E+00;5.714924285;11297.8169;452.5556677;5.86E-05;0.083224858;0.00494705;1426.98471;-0.96761245;
Storage;Electricity storage;Batteries;BATT_LI;501.3;0.775025166;61.3;15;1;0;1;0;0.00E+00;1.510807633;807.9018156;339.4728367;0;0;0;118.7425194;0;
Storage;Electricity storage;Batteries of electric cars;BEV_BATT;0;0;0;1;1;0;1;0;1.00E+15;0;0;0;0;0;0;0;0;
Synthetic fuels;Synthetic fuels;Biomass hydrolysis;BIO_HYDROLYSIS;1811.76;123.526815;0;15;0.85;0;1;0;0.00E+00;0.896799796;10407.24384;29.90761711;0.000347326;0.728528844;0.041908509;117.1122199;0.617304458;
Synthetic fuels;Synthetic fuels;Biomass methanolation;BIOMASS_TO_METHANOL;3311.7;98.8;0;20;1;0;1;0;0.00E+00;45.26471379;63366.70957;1655.800588;0.00040278;0.78601825;0.065016977;3825.156012;0.66705985;
Synthetic fuels;Synthetic fuels;Biomass methanation;BIOMETHANATION;4788;73.15;0;20;0.85;0;1;0.359;3.61E-01;13.065397;56885.77207;695.0800054;9.42E-05;0.097861577;0.006504329;2420.081994;0.844694983;
Mobility;Freight;Boat diesel;BOAT_FREIGHT_DIESEL;1122.22;15.54545455;0;40;0.11416;0;1;10.342;1.04E+01;0.278202489;297.3859523;15.27636381;0.000375342;0.000164487;6.49E-06;41.36422175;0.032213518;
Mobility;Freight;Boat methanol;BOAT_FREIGHT_METHANOL;72.24;3.819444444;0;40;0.11416;0;1;0;0.00E+00;0.278202489;297.3859523;15.27636381;0.00041745;0.000164487;6.49E-06;41.36422175;0.035818432;
Mobility;Freight;Boat gas;BOAT_FREIGHT_NG;72.24;3.819444444;0;40;0.11416;0;1;0;0.00E+00;0.278202489;297.3859523;15.27636381;2.90E-05;0.000164487;6.49E-06;41.36422175;0.037365943;
Mobility;Passenger public;Bus gas;BUS_COACH_CNG_STOICH;73.13;3.819444444;0;15;0.2968;0.1;0.1;1.21;1.21E+00;3.042826067;3789.992271;253.7734972;9.38E-05;6.46E-05;1.79E-05;299.4110507;0.082116174;
Mobility;Passenger public;Bus diesel;BUS_COACH_DIESEL;585.04;30.55555556;0;15;0.2968;0.47;1;5.695;5.70E+00;3.013114367;3718.969011;252.0535928;3.80E-05;6.46E-05;1.79E-05;293.7404266;0.08096834;
Mobility;Passenger public;Bus electric;BUS_COACH_ELECTRIC;577.94;30.55555556;0;15;0.2968;0;1;0;0;8.130766421;4555.726424;353.129297;3.86E-07;6.46E-05;1.79E-05;449.5034661;0.003023932;
Mobility;Passenger public;Bus fuel cell (H2);BUS_COACH_FC_HYBRIDH2;1114.04;31.25;0;15;0.2968;0;0;0;0.00E+00;8.130766421;4555.726424;353.129297;3.74E-07;6.46E-05;1.79E-05;449.5034661;0.003023932;
Mobility;Passenger public;Bus diesel hybrid;BUS_COACH_HYDIESEL;822.56;33.33333333;0;15;0.2968;0;0;0;0.00E+00;3.079564995;3689.049207;257.0141219;2.98E-05;6.46E-05;1.79E-05;296.8768046;0.063882555;
Mobility;Passenger private;Car electric;CAR_BEV;613.66;10;0;10;0.05137;0;0;0;0.00E+00;3.118559246;2066.788631;269.6943946;3.62E-05;0.037498721;0.00362186;399.8401636;0.011868379;
Mobility;Passenger private;Car diesel;CAR_DIESEL;410.87;24;0;10;0.05137;0;1;178.304;1.79E+02;1.444087382;968.7305762;98.66058325;7.79E-05;0.034099721;0.003295147;245.1558749;0.140322259;
Mobility;Passenger private;Car fuel cell (H2);CAR_FUEL_CELL;1062.1;10;0;10;0.05137;0;0;0;0.00E+00;21.49608793;4347.188794;384.4354127;3.58E-05;0.036997632;0.003573695;803.6161548;0.011760901;
Mobility;Passenger private;Car gasoline;CAR_GASOLINE;397.47;24;0;10;0.05137;0.3534;0.3535;98.982;9.90E+01;1.410497772;953.8328577;97.169487;0.000101164;0.03357527;0.003244736;241.0840248;0.160639414;
Mobility;Passenger private;Car hybrid (gasoline);CAR_HEV;423.86;34;0;10;0.05137;0;0;0;0.00E+00;1.718438375;1154.046493;116.92699;8.09E-05;0.03357527;0.003244736;272.2989277;0.116252664;
Mobility;Passenger private;Car methanol;CAR_METHANOL;397.47;24;0;10;0.05137;0;1;0;0.00E+00;1.410497772;953.8328577;97.169487;9.60E-05;0.03357527;0.003244736;241.0840248;0.149418471;
Mobility;Passenger private;Car gas;CAR_NG;411.06;24;0;10;0.05137;0.01;0.01;2.799;2.80E+00;1.461543026;1008.46558;100.0866612;9.73E-05;0.033547562;0.003242073;250.5338014;0.111614636;
Mobility;Passenger private;Car plug-in hybrid;CAR_PHEV;473.46;34;0;10;0.05137;0;0;0;0.00E+00;2.165249796;1456.50417;151.0100724;5.20E-05;0.037225512;0.003595599;319.24217;0.046770872;
Electricity;Electricity;Combined cycle gas turbine;CCGT;825.96;20.91888483;183.79;25;0.96154;0;1;3.925;3.93E+00;2.09159001;1619.088524;54.45422258;0.000119973;0.0035042;0.000958392;159.4545781;0.364633372;
Electricity;Electricity;Amonia combined cycle gas turbine;CCGT_AMMONIA;825.96;20.91888483;183.79;25;0.63;0;1;0;0.00E+00;2.635403493;2040.051603;68.61232253;5.65E-05;0.004363835;0.001193856;200.9127745;0.003459734;
Storage;Other storage;CO2 storage;CO2_STORAGE;49.5;0.495;0;30;1;0;1;0;0.00E+00;0.135277482;39.44435784;8.740417906;0;0;0;20.48567139;0;
Electricity;Electricity;Intagrated gasification combined cycle with coal;COAL_IGCC;3351.65;49.99914413;331.6;35;0.856;0;1;0;0;4.060002053;4649.871739;125.3415712;0.003578392;0.004774166;0.037577187;369.6958601;0.591846456;
Electricity;Electricity;Ultra-supercritical coal power plant;COAL_US;2598.77;30.34193327;331.6;35;0.868;0;1;0.47;0.47;2.079141738;3497.288352;118.0634382;0.003943847;0.005261743;0.041414883;297.0104658;0.652290751;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_GAS;9185.33;171.1804817;2193.45;20;1;0;0;0;0.00E+00;16.45527919;18442.45546;990.5884883;0.000235768;0.243076378;0.008493661;1831.326354;0.934070445;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_H2;9185.33;171.1804817;2193.45;20;1;0;0;0;0.00E+00;16.45527919;18442.45546;990.5884883;0.000223886;0.243076378;0.008493661;1831.326354;0.008470268;
Heat;Heat low temperature decentralised;Bioler gas (decentralised);DEC_BOILER_GAS;190.24;5.708399663;21.09;17;1;0;1;21.365;2.14E+01;0.511081367;293.1824041;21.67869306;6.57E-05;0;0;47.89529729;0.207852956;
