2020;;;;;;2015;;;;;;;;;;
Technologies param;fmin_perc;fmax_perc;f_min;f_max;;Name (in model and documents);[];[];[GW];[GW];;;fmin_perc;fmax_perc;f_min;
CAR_PHEV;0;0;0;1.00E+15;;CAR_PHEV;0;0;0;0.00E+00;;;0;0;0;1E+15
CCGT;0;1;0;1.00E+15;;CCGT;0;1;3.925;3.93E+00;;;0;0;-3.925;1E+15
CCGT_AMMONIA;0;1;0;1.00E+15;;CCGT_AMMONIA;0;1;0;0.00E+00;;;0;0;0;1E+15
CO2_STORAGE;0;1;0;1.00E+15;;CO2_STORAGE;0;1;0;0.00E+00;;;0;0;0;1E+15
COAL_IGCC;0;1;0;1.00E+15;;COAL_IGCC;0;1;0;0;;;0;0;0;1E+15
COAL_US;0;1;0;1.00E+15;;COAL_US;0;1;0.47;0.47;;;0;0;-0.47;1E+15
DEC_ADVCOGEN_GAS;0;0;0;1.00E+15;;DEC_ADVCOGEN_GAS;0;0;0;0.00E+00;;;0;0;0;1E+15
DEC_ADVCOGEN_H2;0;0;0;1.00E+15;;DEC_ADVCOGEN_H2;0;0;0;0.00E+00;;;0;0;0;1E+15
DEC_BOILER_GAS;0.396;1;0;1.00E+15;;DEC_BOILER_GAS;0;1;21.365;2.14E+01;;;0.396;0;-21.365;1E+15
DEC_BOILER_OIL;0.484;1;0;1.00E+15;;DEC_BOILER_OIL;0.484;0.484;25.982;2.60E+01;;;0;0.516;-25.982;1E+15
DEC_BOILER_WOOD;0.1;1;0;1.00E+15;;DEC_BOILER_WOOD;0.1;0.3;5.367;5.37E+00;;;0;0.7;-5.367;1E+15
DEC_COGEN_GAS;0.007;1;0;1.00E+15;;DEC_COGEN_GAS;0.007;0.007;0.374;3.76E-01;;;0;0.993;-0.374;1E+15
DEC_COGEN_OIL;0;0;0;1.00E+15;;DEC_COGEN_OIL;0;0;0;0.00E+00;;;0;0;0;1E+15
DEC_DIRECT_ELEC;0;0;0;1.00E+15;;DEC_DIRECT_ELEC;0;0;0;0.00E+00;;;0;0;0;1E+15
DEC_HP_ELEC;0.011;1;0;1.00E+15;;DEC_HP_ELEC;0.011;0.012;0.589;5.91E-01;;;0;0.988;-0.589;1E+15
DEC_SOLAR;0.002;1;0;1.00E+15;;DEC_SOLAR;0.002;0.002;0.511;5.13E-01;;;0;0.998;-0.511;1E+15
DEC_THHP_GAS;0;0;0;1.00E+15;;DEC_THHP_GAS;0;0;0;0.00E+00;;;0;0;0;1E+15
DHN;0;1;0;1.00E+15;;DHN;0;1;0;1.00E+02;;;0;0;0;1E+15
DHN_BOILER_GAS;0.139;1;0;1.00E+15;;DHN_BOILER_GAS;0.13883;0.13883;0.308;3.10E-01;;;0.00017;0.86117;-0.308;1E+15
DHN_BOILER_OIL;0.007;1;0;1.00E+15;;DHN_BOILER_OIL;0.00651;0.00651;0.074;7.60E-02;;;0.00049;0.99349;-0.074;1E+15
