Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_tech;crit_2_tech;crit_3_tech;crit_1_op;crit_2_op;crit_3_op;lca_tech;lca_op;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];[ACI];[LU];[WD];[ACI];[LU];[WD];[CC];[CC];
Storage;Thermal storage;Decentralised fuel cell cogenration H2;TS_DEC_ADVCOGEN_H2;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;0.033150959;145.6795992;4.989339606;0;0;0;4.953401649;0;
Storage;Thermal storage;Decentralised boiler gas;TS_DEC_BOILER_GAS;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;0.033150959;145.6795992;4.989339606;0;0;0;4.953401649;0;
Storage;Thermal storage;Decentralised boiler oil;TS_DEC_BOILER_OIL;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;0.033150959;145.6795992;4.989339606;0;0;0;4.953401649;0;
Storage;Thermal storage;Decentralised boiler wood;TS_DEC_BOILER_WOOD;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;0.033150959;145.6795992;4.989339606;0;0;0;4.953401649;0;
Storage;Thermal storage;Decentralised cogeneration gas;TS_DEC_COGEN_GAS;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;0.033150959;145.6795992;4.989339606;0;0;0;4.953401649;0;
Storage;Thermal storage;Decentralised cogenration oil;TS_DEC_COGEN_OIL;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;0.033150959;145.6795992;4.989339606;0;0;0;4.953401649;0;
Storage;Thermal storage;Decentralised direct elec;TS_DEC_DIRECT_ELEC;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;0.033150959;145.6795992;4.989339606;0;0;0;4.953401649;0;
Storage;Thermal storage;Decentralised electrical heat pumps;TS_DEC_HP_ELEC;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;0.033150959;145.6795992;4.989339606;0;0;0;4.953401649;0;
Storage;Thermal storage;Decentralised thermal heat pumps gas;TS_DEC_THHP_GAS;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;0.033150959;145.6795992;4.989339606;0;0;0;4.953401649;0;
Storage;Thermal storage;Centralised daily;TS_DHN_DAILY;3;0.0086;0;40;1;0;1;0;1.00E+15;0.033150959;145.6795992;4.989339606;0;0;0;4.953401649;0;
Storage;Thermal storage;Centralised seasonal;TS_DHN_SEASONAL;0.53;0.002916667;0;25;1;0;1;0;1.00E+15;0.033150959;145.6795992;4.989339606;0;0;0;4.953401649;0;
Storage;Thermal storage;Thermal storage industries;TS_HIGH_TEMP;28.03;0.3;0;25;1;0;1;0;1.00E+15;0.033150959;145.6795992;4.989339606;0;0;0;4.953401649;0;
Electricity;Electricity;Wind offshore;WIND_OFFSHORE;4867.49;33.86553231;622.85;30;1;0;1;0;6;4.338625155;5546.86972;465.7128651;9.09458E-07;0.0070253;0.000283614;547.3652333;0.000133008;
Electricity;Electricity;Wind onshore;WIND_ONSHORE;1019.61;11.85882353;622.85;30;1;0;1;0;10;2.762326133;10179.06423;295.0891997;6.29072E-07;0.004859397;0.000196176;362.2501027;9.20014E-05;
