Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_constr;crit_2_constr;crit_3_constr;lca_tech;lca_op;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];[Einv];[CC_REF];[landuse];[CC_ANNE];[CC_ANNE];
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_FUEL;1377;25.4;881.57;20;1;0;1;0;0.00E+00;8647;0;0;1667.375691;0.035958941;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_HVC;1791;37.3;949.7;20;1;0;1;0;0.00E+00;8284;0;0;1597.317886;0.262603463;
Storage;Other storage;Ammonia storage;AMMONIA_STORAGE;0.01;0.000397;0;20;1;0;1;0;0;0.00659;0;1;101.2763353;0;
Synthetic fuels;Synthetic fuels;Amonia to H2;AMMONIA_TO_H2;820.67;75.73189522;0;25;0.86;0;1;0;0;4440;0;1;856.1063882;0;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric;ATM_CCS;5743;142.56;0;40;1;0;1;0;0;5610;0;1;1426.98471;-0.96761245;
Storage;Electricity storage;Batteries;BATT_LI;821.58;1.270180132;61.3;15;1;0;1;0;0;274;0;1;118.7425194;0;
Storage;Electricity storage;Batteries of electric cars;BEV_BATT;0;0;0;1;1;0;1;0;0;5610;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biomass hydrolysis;BIO_HYDROLYSIS;1917.71;130.7506053;0;15;0.85;0;1;0;0;547;0;1;117.1122199;0.617304458;
Synthetic fuels;Synthetic fuels;Biomass methanolation;BIOMASS_TO_METHANOL;6048;92.4;0;20;1;0;1;0;0;547;0;1;3825.156012;0.66705985;
Synthetic fuels;Synthetic fuels;Biomass methanation;BIOMETHANATION;1187.85;16.45454545;0;20;0.85;0;1;0.359;3.61E-01;5610;0;1;2420.081994;0.844694983;
Mobility;Freight;Boat diesel;BOAT_FREIGHT_DIESEL;70.94;3.819444444;0;40;0.11416;0;1;10.342;1.00E+15;109;0;1;41.36422175;0.032213518;
Mobility;Freight;Boat methanol;BOAT_FREIGHT_METHANOL;70.94;3.819444444;0;40;0.11416;0;1;0;0;109;0;1;41.36422175;0.035818432;
Mobility;Freight;Boat gas;BOAT_FREIGHT_NG;72.25;3.819444444;0;40;0.11416;0;1;0;0;109;1;1;41.36422175;0.037365943;
Mobility;Passenger public;Bus gas;BUS_COACH_CNG_STOICH;577.99;30.55555556;0;15;0.2968;0;1;1.21;1.21E+00;380;1;1;299.4110507;0.082116174;
Mobility;Passenger public;Bus diesel;BUS_COACH_DIESEL;567.54;30.55555556;0;15;0.2968;0;1;5.695;1.00E+15;380;1;1;293.7404266;0.08096834;
Mobility;Passenger public;Bus electric;BUS_COACH_ELECTRIC;1539.28;31.25;0;15;0.2968;0;1;0;0;406;1;1;449.5034661;0.003023932;
Mobility;Passenger public;Bus fuel cell (H2);BUS_COACH_FC_HYBRIDH2;2143.4;31.25;0;15;0.2968;0;1;0;0;505;1;1;449.5034661;0.003023932;
Mobility;Passenger public;Bus diesel hybrid;BUS_COACH_HYDIESEL;838.23;33.33333333;0;15;0.2968;0;1;0;0;470;1;1;296.8768046;0.063882555;
Mobility;Passenger private;Car electric;CAR_BEV;873.02;10;0;10;0.05137;0;1;0;0;788;1;1;399.8401636;0.011868379;
Mobility;Passenger private;Car diesel;CAR_DIESEL;403.48;24;0;10;0.05137;0;1;231.304;1.00E+15;738;1;1;245.1558749;0.140322259;
Mobility;Passenger private;Car fuel cell (H2);CAR_FUEL_CELL;1091.27;10;0;10;0.05137;0;1;0;0;1020;1;1;803.6161548;0.011760901;
Mobility;Passenger private;Car gasoline;CAR_GASOLINE;390.32;24;0;10;0.05137;0;1;143.982;1.44E+02;677;1;1;241.0840248;0.160639414;
Mobility;Passenger private;Car hybrid (gasoline);CAR_HEV;431.94;34;0;10;0.05137;0;1;0;0;857;1;1;272.2989277;0.116252664;
Mobility;Passenger private;Car methanol;CAR_METHANOL;390.32;24;0;10;0.05137;0;1;0;0;677;1;1;241.0840248;0.149418471;
Mobility;Passenger private;Car gas;CAR_NG;406.1;24;0;10;0.05137;0;1;0;0.00E+00;677;1;1;250.5338014;0.111614636;
Mobility;Passenger private;Car plug-in hybrid;CAR_PHEV;491.88;34;0;10;0.05137;0;1;0;0;868;1;1;319.24217;0.046770872;
Electricity;Electricity;Combined cycle gas turbine;CCGT;844.73;21.39431403;183.79;25;0.96154;0;1;3.925;3.93E+00;615;1;1;159.4545781;0.364633372;
Electricity;Electricity;Amonia combined cycle gas turbine;CCGT_AMMONIA;844.73;21.39431403;183.79;25;0.63;0;1;0;0;615;1;1;200.9127745;0.003459734;
Storage;Other storage;CO2 storage;CO2_STORAGE;49.5;0.495;0;30;1;0;1;0;0;0.0659;1;1;20.48567139;0;
